"GEO_ID","NAME","GEO_ID_F","NAICS2012","INDLEVEL","NAICS2012_LABEL","NAICS2012_F","SUBSECTOR","INDGROUP","SECTOR","COMM","COMM_LABEL","YEAR","VAL","TON","TMILE","AVGMILE","VAL_S","TON_S","TMILE_S","AVGMILE_S"
"0100000US","United States","null","00","2","Total for all sectors","null","null","null","00","13","Other non-metallic minerals, not elsewhere classified ","2017","24581","216583","57099","274","6.6","12.4","8.8","14.5"
"0100000US","United States","null","00","2","Total for all sectors","null","null","null","00","14","Metallic ores and concentrates","2017","30734","70510","44267","607","9.8","19.4","37.1","13.0"
"0100000US","United States","null","00","2","Total for all sectors","null","null","null","00","15","Coal","2017","31673","878235","483112","74","4.4","5.2","6.7","20.7"
"0100000US","United States","null","00","2","Total for all sectors","null","null","null","00","17","Gasoline and aviation turbine fuel","2017","745954","1388364","138279","44","5.4","6.1","7.4","10.6"
"0100000US","United States","null","00","2","Total for all sectors","null","null","null","00","18","Fuel oils","2017","474617","909140","79304","36","4.5","4.2","11.8","10.6"
"0100000US","United States","null","00","2","Total for all sectors","null","null","null","00","19","Other coal and petroleum products, not elsewhere classified","2017","258447","547120","88371","65","6.2","5.0","10.1","9.9"
"0100000US","United States","null","00","2","Total for all sectors","null","null","null","00","20","Basic chemicals","2017","290944","418746","151553","421","2.6","5.1","6.2","17.9"
"0100000US","United States","null","00","2","Total for all sectors","null","null","null","00","21","Pharmaceutical products","2017","1099027","19569","10129","623","5.9","10.8","16.7","6.4"
"0100000US","United States","null","00","2","Total for all sectors","null","null","null","00","22","Fertilizers","2017","57886","172509","40112","102","4.9","5.7","7.6","13.4"
"0100000US","United States","null","00","2","Total for all sectors","null","null","null","00","23","Other chemical products and preparations, not elsewhere classified","2017","431214","127478","60718","881","4.7","5.8","6.3","6.7"
"0100000US","United States","null","00","2","Total for all sectors","null","null","null","00","24","Plastics and rubber","2017","642524","224812","123629","689","1.7","3.8","3.5","16.4"
"0100000US","United States","null","00","2","Total for all sectors","null","null","null","00","25","Logs and other wood in the rough","2017","6508","25637","5411","138","14.8","14.9","15.2","16.6"
"0100000US","United States","null","00","2","Total for all sectors","null","null","null","00","26","Wood products","2017","220916","322769","88755","350","1.3","1.7","2.7","14.9"
"0100000US","United States","null","00","2","Total for all sectors","null","null","null","00","27","Pulp, newsprint, paper, and paperboard","2017","127501","139603","83375","267","5.0","7.2","13.8","7.0"
"0100000US","United States","null","00","2","Total for all sectors","null","null","null","00","28","Paper or paperboard articles","2017","148420","80854","26305","577","3.3","4.5","6.0","10.0"
"0100000US","United States","null","00","2","Total for all sectors","null","null","null","00","29","Printed products","2017","133862","27940","11119","480","5.5","6.5","4.4","12.9"
"0100000US","United States","null","00","2","Total for all sectors","null","null","null","00","30","Textiles, leather, and articles of textiles or leather","2017","510486","39813","24337","1083","2.3","5.0","3.3","3.4"
"0100000US","United States","null","00","2","Total for all sectors","null","null","null","00","31","Non-metallic mineral products","2017","203609","920764","103609","544","2.5","3.1","6.5","11.8"
"0100000US","United States","null","00","2","Total for all sectors","null","null","null","00","32","Base metal in primary or semi-finished forms and in finished basic shapes","2017","464454","332177","113627","413","1.9","2.9","3.1","8.3"
"0100000US","United States","null","00","2","Total for all sectors","null","null","null","00","33","Articles of base metal","2017","394331","128364","49046","559","2.8","5.7","9.1","6.3"
"0100000US","United States","null","00","2","Total for all sectors","null","null","null","00","34","Machinery","2017","870494","94760","42825","439","1.2","3.7","4.8","3.3"
"0100000US","United States","null","00","2","Total for all sectors","null","null","null","00","35","Electronic and other electrical equipment and components, and office equipment","2017","1135570","56855","31133","783","2.0","2.6","4.7","7.7"
"0100000US","United States","null","00","2","Total for all sectors","null","null","null","00","36","Motorized and other vehicles (includes parts)","2017","1244898","170451","66873","475","3.9","7.9","5.7","4.5"
"0100000US","United States","null","00","2","Total for all sectors","null","null","null","00","37","Transportation equipment, not elsewhere classified","2017","281929","6515","3804","918","3.4","14.4","17.0","6.0"
"0100000US","United States","null","00","2","Total for all sectors","null","null","null","00","38","Precision instruments and apparatus","2017","384066","7753","5493","910","3.4","13.5","15.1","4.7"
"0100000US","United States","null","00","2","Total for all sectors","null","null","null","00","39","Furniture, mattresses and mattress supports, lamps, lighting fittings, and illuminated signs","2017","179022","26989","14982","822","5.7","4.0","5.0","4.6"
"0100000US","United States","null","00","2","Total for all sectors","null","null","null","00","40","Miscellaneous manufactured products","2017","607982","81807","35133","1063","2.6","8.2","5.7","3.4"
"0100000US","United States","null","00","2","Total for all sectors","null","null","null","00","41","Waste and scrap","2017","71137","235833","52155","157","4.6","4.9","4.8","7.2"
"0100000US","United States","null","00","2","Total for all sectors","null","null","null","00","43","Mixed freight","2017","1447781","406212","79815","383","3.5","3.1","2.6","5.3"
"0100000US","United States","null","212","3","Mining (except oil and gas)","null","212","null","21","0000","All Commodities","2017","92648","2897512","768042","69","4.5","4.7","6.7","12.9"
"0100000US","United States","null","212","3","Mining (except oil and gas)","null","212","null","21","03","Agricultural products (excludes animal feed, cereal grains, and forage products)","2017","S","66","S","20","S","36.2","S","23.9"
"0100000US","United States","null","212","3","Mining (except oil and gas)","null","212","null","21","04","Animal feed, eggs, honey, and other products of animal origin","2017","S","S","S","S","S","S","S","S"
"0100000US","United States","null","212","3","Mining (except oil and gas)","null","212","null","21","07","Other prepared foodstuffs and fats and oils","2017","S","S","S","S","S","S","S","S"
"0100000US","United States","null","212","3","Mining (except oil and gas)","null","212","null","21","10","Monumental or building stone","2017","502","3694","570","S","12.4","18.8","21.9","S"
"0100000US","United States","null","212","3","Mining (except oil and gas)","null","212","null","21","11","Natural sands","2017","6608","434813","101948","137","4.4","7.0","16.6","29.1"
"0100000US","United States","null","212","3","Mining (except oil and gas)","null","212","null","21","12","Gravel and crushed stone (excludes dolomite and slate)","2017","15161","1322021","83810","41","7.2","7.6","14.1","9.5"
"0100000US","United States","null","212","3","Mining (except oil and gas)","null","212","null","21","13","Other non-metallic minerals, not elsewhere classified ","2017","4462","118302","30468","139","8.5","11.2","13.9","13.2"
"0100000US","United States","null","212","3","Mining (except oil and gas)","null","212","null","21","14","Metallic ores and concentrates","2017","22062","65927","42288","438","13.9","20.0","38.6","16.0"
"0100000US","United States","null","212","3","Mining (except oil and gas)","null","212","null","21","15","Coal","2017","30485","867381","480929","67","3.7","5.0","6.8","20.0"
"0100000US","United States","null","212","3","Mining (except oil and gas)","null","212","null","21","19","Other coal and petroleum products, not elsewhere classified","2017","421","8456","223","18","40.9","47.2","42.8","42.8"
"0100000US","United States","null","212","3","Mining (except oil and gas)","null","212","null","21","20","Basic chemicals","2017","2082","13616","17016","1005","30.3","29.0","31.0","7.4"
"0100000US","United States","null","212","3","Mining (except oil and gas)","null","212","null","21","22","Fertilizers","2017","1252","1967","1970","625","30.3","28.2","27.0","25.5"
"0100000US","United States","null","212","3","Mining (except oil and gas)","null","212","null","21","23","Other chemical products and preparations, not elsewhere classified","2017","6","4","6","S","33.2","34.0","32.8","S"
"0100000US","United States","null","212","3","Mining (except oil and gas)","null","212","null","21","24","Plastics and rubber","2017","S","Z","Z","199","S","15.6","42.9","44.1"
"0100000US","United States","null","212","3","Mining (except oil and gas)","null","212","null","21","26","Wood products","2017","5","110","S","7","43.5","39.8","S","32.0"
"0100000US","United States","null","212","3","Mining (except oil and gas)","null","212","null","21","29","Printed products","2017","S","S","S","S","S","S","S","S"
"0100000US","United States","null","212","3","Mining (except oil and gas)","null","212","null","21","31","Non-metallic mineral products","2017","2128","58735","8301","77","14.0","14.3","24.2","16.8"
"0100000US","United States","null","212","3","Mining (except oil and gas)","null","212","null","21","32","Base metal in primary or semi-finished forms and in finished basic shapes","2017","S","S","S","427","S","S","S","18.3"
"0100000US","United States","null","212","3","Mining (except oil and gas)","null","212","null","21","33","Articles of base metal","2017","S","S","S","47","S","S","S","39.3"
"0100000US","United States","null","212","3","Mining (except oil and gas)","null","212","null","21","34","Machinery","2017","S","S","S","S","S","S","S","S"
"0100000US","United States","null","212","3","Mining (except oil and gas)","null","212","null","21","35","Electronic and other electrical equipment and components, and office equipment","2017","21","43","S","1435","45.0","48.8","S","25.8"
"0100000US","United States","null","212","3","Mining (except oil and gas)","null","212","null","21","36","Motorized and other vehicles (includes parts)","2017","S","S","S","78","S","S","S","26.0"
"0100000US","United States","null","212","3","Mining (except oil and gas)","null","212","null","21","38","Precision instruments and apparatus","2017","S","S","S","S","S","S","S","S"
"0100000US","United States","null","212","3","Mining (except oil and gas)","null","212","null","21","40","Miscellaneous manufactured products","2017","3444","S","S","S","49.4","S","S","S"
"0100000US","United States","null","212","3","Mining (except oil and gas)","null","212","null","21","41","Waste and scrap","2017","2","S","S","S","42.2","S","S","S"
"0100000US","United States","null","212","3","Mining (except oil and gas)","null","212","null","21","43","Mixed freight","2017","S","S","S","S","S","S","S","S"
"0100000US","United States","null","31-33","2","Manufacturing","null","null","null","31","0000","All Commodities","2017","5702543","4707859","1414969","715","0.9","1.7","1.0","2.4"
"0100000US","United States","null","31-33","2","Manufacturing","null","null","null","31","01","Animals and fish (live)","2017","522","346","184","603","28.2","44.3","37.1","28.3"
"0100000US","United States","null","31-33","2","Manufacturing","null","null","null","31","02","Cereal grains (includes seed)","2017","4109","19117","5373","176","20.3","28.0","33.7","39.2"
"0100000US","United States","null","31-33","2","Manufacturing","null","null","null","31","03","Agricultural products (excludes animal feed, cereal grains, and forage products)","2017","23051","25570","15825","905","11.6","12.9","25.6","12.4"
"0100000US","United States","null","31-33","2","Manufacturing","null","null","null","31","04","Animal feed, eggs, honey, and other products of animal origin","2017","79708","228455","64441","245","4.0","4.2","8.0","9.1"
"0100000US","United States","null","31-33","2","Manufacturing","null","null","null","31","05","Meat, poultry, fish, seafood, and their preparations","2017","215834","65850","36856","425","3.1","3.2","5.2","13.5"
"0100000US","United States","null","31-33","2","Manufacturing","null","null","null","31","06","Milled grain products and preparations, and bakery products","2017","125174","101883","49293","162","4.4","8.3","9.1","23.2"
"0100000US","United States","null","31-33","2","Manufacturing","null","null","null","31","07","Other prepared foodstuffs and fats and oils","2017","365281","364043","175807","312","2.4","3.5","3.5","8.9"
"0100000US","United States","null","31-33","2","Manufacturing","null","null","null","31","08","Alcoholic beverages","2017","62302","44987","22099","552","5.0","7.6","9.2","25.0"
"0100000US","United States","null","31-33","2","Manufacturing","null","null","null","31","09","Tobacco products","2017","49159","3085","455","794","17.7","30.7","13.3","9.0"
"0100000US","United States","null","31-33","2","Manufacturing","null","null","null","31","10","Monumental or building stone","2017","2570","5543","760","258","16.2","29.5","29.9","21.0"
"0100000US","United States","null","31-33","2","Manufacturing","null","null","null","31","11","Natural sands","2017","3175","40953","4683","189","37.5","34.5","35.1","22.3"
"0100000US","United States","null","31-33","2","Manufacturing","null","null","null","31","12","Gravel and crushed stone (excludes dolomite and slate)","2017","2990","174646","6379","28","12.6","12.7","17.7","11.9"
"0100000US","United States","null","31-33","2","Manufacturing","null","null","null","31","13","Other non-metallic minerals, not elsewhere classified ","2017","10288","61548","20568","401","10.8","28.7","10.0","17.7"
"0100000US","United States","null","31-33","2","Manufacturing","null","null","null","31","14","Metallic ores and concentrates","2017","5307","3111","1524","598","19.1","39.4","33.9","10.5"
"0100000US","United States","null","31-33","2","Manufacturing","null","null","null","31","15","Coal","2017","415","1977","S","392","35.3","44.7","S","28.7"
"0100000US","United States","null","31-33","2","Manufacturing","null","null","null","31","17","Gasoline and aviation turbine fuel","2017","301325","581233","101818","184","7.2","7.9","8.6","8.8"
"0100000US","United States","null","31-33","2","Manufacturing","null","null","null","31","18","Fuel oils","2017","151076","319305","46634","161","6.9","6.6","12.7","10.5"
"0100000US","United States","null","31-33","2","Manufacturing","null","null","null","31","19","Other coal and petroleum products, not elsewhere classified","2017","104177","367488","72566","235","8.0","5.1","11.1","4.9"
"0100000US","United States","null","31-33","2","Manufacturing","null","null","null","31","20","Basic chemicals","2017","176132","279169","108964","587","5.3","3.5","5.3","11.1"
"0100000US","United States","null","31-33","2","Manufacturing","null","null","null","31","21","Pharmaceutical products","2017","161386","6220","5313","1055","6.6","18.7","21.8","8.5"
"0100000US","United States","null","31-33","2","Manufacturing","null","null","null","31","22","Fertilizers","2017","18826","66205","27669","311","6.1","8.2","9.4","12.8"
"0100000US","United States","null","31-33","2","Manufacturing","null","null","null","31","23","Other chemical products and preparations, not elsewhere classified","2017","207726","87117","47171","884","4.3","8.8","9.2","5.2"
"0100000US","United States","null","31-33","2","Manufacturing","null","null","null","31","24","Plastics and rubber","2017","359844","155113","96250","771","1.6","2.8","5.3","2.2"
"0100000US","United States","null","31-33","2","Manufacturing","null","null","null","31","25","Logs and other wood in the rough","2017","2832","10597","3086","236","10.9","14.6","14.1","12.2"
"0100000US","United States","null","31-33","2","Manufacturing","null","null","null","31","26","Wood products","2017","114788","216442","70841","521","1.6","2.6","4.0","12.6"
"0100000US","United States","null","31-33","2","Manufacturing","null","null","null","31","27","Pulp, newsprint, paper, and paperboard","2017","88916","100088","61982","561","2.4","3.8","4.7","6.0"
"0100000US","United States","null","31-33","2","Manufacturing","null","null","null","31","28","Paper or paperboard articles","2017","87869","55494","18394","509","4.2","4.7","6.4","5.9"
"0100000US","United States","null","31-33","2","Manufacturing","null","null","null","31","29","Printed products","2017","69336","18850","8250","769","2.4","7.5","4.0","2.9"
"0100000US","United States","null","31-33","2","Manufacturing","null","null","null","31","30","Textiles, leather, and articles of textiles or leather","2017","83782","13921","8020","965","2.7","7.7","8.2","3.4"
"0100000US","United States","null","31-33","2","Manufacturing","null","null","null","31","31","Non-metallic mineral products","2017","126946","736902","82952","230","2.3","3.7","5.0","6.4"
"0100000US","United States","null","31-33","2","Manufacturing","null","null","null","31","32","Base metal in primary or semi-finished forms and in finished basic shapes","2017","278005","203443","84940","511","2.3","4.4","4.2","12.4"
"0100000US","United States","null","31-33","2","Manufacturing","null","null","null","31","33","Articles of base metal","2017","215681","79704","32676","692","5.1","7.4","4.2","4.2"
"0100000US","United States","null","31-33","2","Manufacturing","null","null","null","31","34","Machinery","2017","419814","41533","28280","783","2.7","6.2","6.4","2.7"
"0100000US","United States","null","31-33","2","Manufacturing","null","null","null","31","35","Electronic and other electrical equipment and components, and office equipment","2017","337464","13208","9947","1177","1.7","3.1","3.6","5.6"
"0100000US","United States","null","31-33","2","Manufacturing","null","null","null","31","36","Motorized and other vehicles (includes parts)","2017","649846","101610","43059","733","7.2","11.7","6.8","7.0"
"0100000US","United States","null","31-33","2","Manufacturing","null","null","null","31","37","Transportation equipment, not elsewhere classified","2017","260450","5254","3221","856","3.6","11.0","14.5","8.0"
"0100000US","United States","null","31-33","2","Manufacturing","null","null","null","31","38","Precision instruments and apparatus","2017","179209","3060","2628","1036","2.0","16.6","18.0","2.6"
"0100000US","United States","null","31-33","2","Manufacturing","null","null","null","31","39","Furniture, mattresses and mattress supports, lamps, lighting fittings, and illuminated signs","2017","75355","12843","7359","736","3.7","8.3","7.7","2.5"
"0100000US","United States","null","31-33","2","Manufacturing","null","null","null","31","40","Miscellaneous manufactured products","2017","202383","40923","18294","878","2.5","8.7","9.4","4.3"
"0100000US","United States","null","31-33","2","Manufacturing","null","null","null","31","41","Waste and scrap","2017","1714","18282","1811","81","17.0","43.4","17.9","47.8"
"0100000US","United States","null","31-33","2","Manufacturing","null","null","null","31","43","Mixed freight","2017","77773","32741","18292","673","3.1","4.2","6.7","9.1"
"0100000US","United States","null","311","3","Food manufacturing","null","311","null","31","0000","All Commodities","2017","797465","626153","301930","288","1.2","1.5","2.3","9.9"
"0100000US","United States","null","311","3","Food manufacturing","null","311","null","31","01","Animals and fish (live)","2017","508","345","183","661","29.9","44.5","37.3","32.7"
"0100000US","United States","null","311","3","Food manufacturing","null","311","null","31","02","Cereal grains (includes seed)","2017","3763","17091","4422","125","24.6","33.4","40.8","27.3"
"0100000US","United States","null","311","3","Food manufacturing","null","311","null","31","03","Agricultural products (excludes animal feed, cereal grains, and forage products)","2017","19673","22661","15227","818","14.3","15.2","26.9","12.9"
"0100000US","United States","null","311","3","Food manufacturing","null","311","null","31","04","Animal feed, eggs, honey, and other products of animal origin","2017","66319","142278","38414","224","4.2","6.0","4.7","7.6"
"0100000US","United States","null","311","3","Food manufacturing","null","311","null","31","05","Meat, poultry, fish, seafood, and their preparations","2017","215594","65800","36822","424","3.1","3.2","5.2","13.5"
"0100000US","United States","null","311","3","Food manufacturing","null","311","null","31","06","Milled grain products and preparations, and bakery products","2017","123778","98810","46424","161","4.5","8.4","9.4","23.3"
"0100000US","United States","null","311","3","Food manufacturing","null","311","null","31","07","Other prepared foodstuffs and fats and oils","2017","309931","246788","141890","403","2.7","2.8","4.6","5.5"
"0100000US","United States","null","311","3","Food manufacturing","null","311","null","31","08","Alcoholic beverages","2017","343","256","161","296","42.6","27.3","40.8","45.2"
"0100000US","United States","null","311","3","Food manufacturing","null","311","null","31","12","Gravel and crushed stone (excludes dolomite and slate)","2017","1","18","14","554","48.7","31.2","42.2","44.1"
"0100000US","United States","null","311","3","Food manufacturing","null","311","null","31","13","Other non-metallic minerals, not elsewhere classified ","2017","63","S","S","S","41.3","S","S","S"
"0100000US","United States","null","311","3","Food manufacturing","null","311","null","31","15","Coal","2017","S","S","S","S","S","S","S","S"
"0100000US","United States","null","311","3","Food manufacturing","null","311","null","31","17","Gasoline and aviation turbine fuel","2017","666","1213","1700","1056","17.9","20.1","23.4","17.2"
"0100000US","United States","null","311","3","Food manufacturing","null","311","null","31","18","Fuel oils","2017","2398","2798","2315","630","10.2","11.4","12.6","13.0"
"0100000US","United States","null","311","3","Food manufacturing","null","311","null","31","20","Basic chemicals","2017","880","216","155","855","27.6","18.7","24.0","11.3"
"0100000US","United States","null","311","3","Food manufacturing","null","311","null","31","21","Pharmaceutical products","2017","565","32","20","S","39.6","31.9","45.6","S"
"0100000US","United States","null","311","3","Food manufacturing","null","311","null","31","22","Fertilizers","2017","287","1181","S","S","10.5","13.4","S","S"
"0100000US","United States","null","311","3","Food manufacturing","null","311","null","31","23","Other chemical products and preparations, not elsewhere classified","2017","1608","S","171","448","38.2","S","46.1","22.8"
"0100000US","United States","null","311","3","Food manufacturing","null","311","null","31","24","Plastics and rubber","2017","S","S","S","432","S","S","S","18.6"
"0100000US","United States","null","311","3","Food manufacturing","null","311","null","31","26","Wood products","2017","36","S","S","S","21.2","S","S","S"
"0100000US","United States","null","311","3","Food manufacturing","null","311","null","31","27","Pulp, newsprint, paper, and paperboard","2017","S","S","S","704","S","S","S","45.8"
"0100000US","United States","null","311","3","Food manufacturing","null","311","null","31","28","Paper or paperboard articles","2017","S","12","S","342","S","41.4","S","33.8"
"0100000US","United States","null","311","3","Food manufacturing","null","311","null","31","29","Printed products","2017","S","S","S","10","S","S","S","41.3"
"0100000US","United States","null","311","3","Food manufacturing","null","311","null","31","30","Textiles, leather, and articles of textiles or leather","2017","40","S","S","847","46.4","S","S","38.5"
"0100000US","United States","null","311","3","Food manufacturing","null","311","null","31","31","Non-metallic mineral products","2017","46","949","12","13","15.2","16.3","25.7","10.7"
"0100000US","United States","null","311","3","Food manufacturing","null","311","null","31","32","Base metal in primary or semi-finished forms and in finished basic shapes","2017","S","S","S","S","S","S","S","S"
"0100000US","United States","null","311","3","Food manufacturing","null","311","null","31","33","Articles of base metal","2017","S","S","S","537","S","S","S","9.0"
"0100000US","United States","null","311","3","Food manufacturing","null","311","null","31","34","Machinery","2017","S","S","S","S","S","S","S","S"
"0100000US","United States","null","311","3","Food manufacturing","null","311","null","31","35","Electronic and other electrical equipment and components, and office equipment","2017","S","S","S","1146","S","S","S","20.0"
"0100000US","United States","null","311","3","Food manufacturing","null","311","null","31","36","Motorized and other vehicles (includes parts)","2017","S","S","S","S","S","S","S","S"
"0100000US","United States","null","311","3","Food manufacturing","null","311","null","31","38","Precision instruments and apparatus","2017","Z","Z","Z","527","30.1","26.1","40.2","27.4"
"0100000US","United States","null","311","3","Food manufacturing","null","311","null","31","39","Furniture, mattresses and mattress supports, lamps, lighting fittings, and illuminated signs","2017","S","S","S","S","S","S","S","S"
"0100000US","United States","null","311","3","Food manufacturing","null","311","null","31","40","Miscellaneous manufactured products","2017","1103","634","246","1120","30.9","36.9","38.1","17.8"
"0100000US","United States","null","311","3","Food manufacturing","null","311","null","31","41","Waste and scrap","2017","S","S","S","S","S","S","S","S"
"0100000US","United States","null","311","3","Food manufacturing","null","311","null","31","43","Mixed freight","2017","48155","23699","13197","372","4.6","5.0","8.5","13.5"
"0100000US","United States","null","312","3","Beverage and tobacco product manufacturing","null","312","null","31","0000","All Commodities","2017","160044","156859","48220","367","6.3","6.6","8.3","18.0"
"0100000US","United States","null","312","3","Beverage and tobacco product manufacturing","null","312","null","31","02","Cereal grains (includes seed)","2017","S","S","S","S","S","S","S","S"
"0100000US","United States","null","312","3","Beverage and tobacco product manufacturing","null","312","null","31","03","Agricultural products (excludes animal feed, cereal grains, and forage products)","2017","1812","304","86","268","15.2","13.7","18.9","16.2"
"0100000US","United States","null","312","3","Beverage and tobacco product manufacturing","null","312","null","31","04","Animal feed, eggs, honey, and other products of animal origin","2017","31","240","15","S","40.8","35.4","29.0","S"
"0100000US","United States","null","312","3","Beverage and tobacco product manufacturing","null","312","null","31","05","Meat, poultry, fish, seafood, and their preparations","2017","S","S","S","S","S","S","S","S"
"0100000US","United States","null","312","3","Beverage and tobacco product manufacturing","null","312","null","31","06","Milled grain products and preparations, and bakery products","2017","S","5","S","S","S","34.6","S","S"
"0100000US","United States","null","312","3","Beverage and tobacco product manufacturing","null","312","null","31","07","Other prepared foodstuffs and fats and oils","2017","45796","108459","26272","85","5.1","9.3","11.3","16.0"
"0100000US","United States","null","312","3","Beverage and tobacco product manufacturing","null","312","null","31","08","Alcoholic beverages","2017","59747","42290","20524","549","5.3","8.3","10.2","25.8"
"0100000US","United States","null","312","3","Beverage and tobacco product manufacturing","null","312","null","31","09","Tobacco products","2017","49112","3083","454","801","17.7","30.8","13.3","8.9"
"0100000US","United States","null","312","3","Beverage and tobacco product manufacturing","null","312","null","31","20","Basic chemicals","2017","S","S","S","S","S","S","S","S"
"0100000US","United States","null","312","3","Beverage and tobacco product manufacturing","null","312","null","31","22","Fertilizers","2017","S","S","S","S","S","S","S","S"
"0100000US","United States","null","312","3","Beverage and tobacco product manufacturing","null","312","null","31","23","Other chemical products and preparations, not elsewhere classified","2017","121","S","S","1009","47.2","S","S","15.4"
"0100000US","United States","null","312","3","Beverage and tobacco product manufacturing","null","312","null","31","24","Plastics and rubber","2017","524","169","S","315","45.7","46.5","S","38.6"
"0100000US","United States","null","312","3","Beverage and tobacco product manufacturing","null","312","null","31","25","Logs and other wood in the rough","2017","1","4","1","142","26.0","21.6","40.3","31.3"
"0100000US","United States","null","312","3","Beverage and tobacco product manufacturing","null","312","null","31","26","Wood products","2017","S","98","S","937","S","36.9","S","38.5"
"0100000US","United States","null","312","3","Beverage and tobacco product manufacturing","null","312","null","31","28","Paper or paperboard articles","2017","S","S","S","377","S","S","S","19.8"
"0100000US","United States","null","312","3","Beverage and tobacco product manufacturing","null","312","null","31","29","Printed products","2017","S","17","S","834","S","45.0","S","26.5"
"0100000US","United States","null","312","3","Beverage and tobacco product manufacturing","null","312","null","31","30","Textiles, leather, and articles of textiles or leather","2017","71","18","S","1704","38.4","42.8","S","26.2"
"0100000US","United States","null","312","3","Beverage and tobacco product manufacturing","null","312","null","31","31","Non-metallic mineral products","2017","S","S","S","457","S","S","S","45.3"
"0100000US","United States","null","312","3","Beverage and tobacco product manufacturing","null","312","null","31","32","Base metal in primary or semi-finished forms and in finished basic shapes","2017","42","S","2","619","36.4","S","33.4","36.1"
"0100000US","United States","null","312","3","Beverage and tobacco product manufacturing","null","312","null","31","33","Articles of base metal","2017","165","S","S","441","41.1","S","S","26.3"
"0100000US","United States","null","312","3","Beverage and tobacco product manufacturing","null","312","null","31","34","Machinery","2017","S","3","S","789","S","48.9","S","11.0"
"0100000US","United States","null","312","3","Beverage and tobacco product manufacturing","null","312","null","31","35","Electronic and other electrical equipment and components, and office equipment","2017","17","S","1","851","20.6","S","40.1","24.9"
"0100000US","United States","null","312","3","Beverage and tobacco product manufacturing","null","312","null","31","38","Precision instruments and apparatus","2017","S","S","S","S","S","S","S","S"
"0100000US","United States","null","312","3","Beverage and tobacco product manufacturing","null","312","null","31","39","Furniture, mattresses and mattress supports, lamps, lighting fittings, and illuminated signs","2017","S","S","S","S","S","S","S","S"
"0100000US","United States","null","312","3","Beverage and tobacco product manufacturing","null","312","null","31","40","Miscellaneous manufactured products","2017","S","301","S","1593","S","46.8","S","25.9"
"0100000US","United States","null","312","3","Beverage and tobacco product manufacturing","null","312","null","31","41","Waste and scrap","2017","S","S","S","S","S","S","S","S"
"0100000US","United States","null","312","3","Beverage and tobacco product manufacturing","null","312","null","31","43","Mixed freight","2017","564","S","S","S","46.2","S","S","S"
"0100000US","United States","null","313","3","Textile mills","null","313","null","31","0000","All Commodities","2017","29575","6415","3805","727","4.0","5.0","6.9","7.9"
