SAEMP25N Total Full-Time and Part-Time Employment by NAICS Industry 1/,,,,,,,
(number of jobs) ,,,,,,,
Bureau of Economic Analysis ,,,,,,,
State or DC,,,,,,,
GeoFips,GeoName,LineCode,Description,2006,2007,2008,2009
0,United States,806,        Pipeline transportation,39500,40900,42000,41300
0,United States,807,        Scenic and sightseeing transportation,32400,43500,44000,40000
0,United States,808,        Support activities for transportation,623200,649100,652100,607700
0,United States,809,        Couriers and messengers,851000,859700,834300,786800
0,United States,811,        Warehousing and storage,694700,718700,753500,719100
0,United States,900,      Information,3545500,3555900,3510400,3310300
0,United States,901,        Publishing industries (except Internet),1042800,1049800,1029500,945300
0,United States,902,        Motion picture and sound recording industries,452700,460900,463400,440900
0,United States,903,        Broadcasting (except Internet),372700,374900,363800,345700
0,United States,904,        Internet publishing and broadcasting 3/,39900,(NA),(NA),(NA)
0,United States,905,        Telecommunications,1118700,1181500,1166200,1110100
0,United States,906,"        Data processing, hosting, and related services",451900,341000,333400,316600
0,United States,907,        Other information services 3/,66800,147800,154100,151700
0,United States,1000,      Finance and insurance,8361800,8789600,9107200,9464800
0,United States,1001,        Monetary Authorities-central bank,21000,21000,22000,21000
0,United States,1002,        Credit intermediation and related activities,3125500,3110600,3011800,2904800
0,United States,1003,"        Securities, commodity contracts, and other financial investments and related activities",2099600,2460100,2855900,3195500
0,United States,1004,        Insurance carriers and related activities,2897300,2914200,2924300,2915200
0,United States,1005,"        Funds, trusts, and other financial vehicles",218400,283700,293200,428300
0,United States,1100,      Real estate and rental and leasing,7453500,7752500,7682200,7504200
0,United States,1101,        Real estate,6591100,6924300,6856300,6753000
0,United States,1102,        Rental and leasing services,832300,798100,795700,721800
0,United States,1103,        Lessors of nonfinancial intangible assets (except copyrighted works),30100,30100,30200,29400
0,United States,1200,"      Professional, scientific, and technical services",11316800,11920100,12117900,11720800
0,United States,1300,      Management of companies and enterprises,1915700,1960600,2075200,2024300
0,United States,1400,      Administrative and support and waste management and remediation services,10791500,11060500,10756900,10090000
0,United States,1401,        Administrative and support services,10410000,10669200,10363000,9714800
0,United States,1402,        Waste management and remediation services,381500,391300,393900,375200
0,United States,1500,      Educational services,3659500,3731800,3848300,3976200
0,United States,1600,      Health care and social assistance,17360900,18004300,18433900,18731700
0,United States,1601,        Ambulatory health care services,6521800,6836400,7020800,7143500
0,United States,1602,        Hospitals,4452900,4541000,4638500,4685900
0,United States,1603,        Nursing and residential care facilities,3024500,3073300,3154300,3211700
0,United States,1604,        Social assistance,3361700,3553600,3620300,3690600
0,United States,1700,"      Arts, entertainment, and recreation",3545400,3704100,3791800,3744100
0,United States,1701,"        Performing arts, spectator sports, and related industries",1729200,1816400,1844500,1855500
0,United States,1702,"        Museums, historical sites, and similar institutions",127800,131900,136500,130000
0,United States,1703,"        Amusement, gambling, and recreation industries",1688400,1755800,1810800,1758600
0,United States,1800,      Accommodation and food services,11980200,12237000,12293100,11938500
0,United States,1801,        Accommodation,1999600,2020300,2027500,1907000
0,United States,1802,        Food services and drinking places,9980600,10216700,10265600,10031500
0,United States,1900,      Other services (except government and government enterprises),9927800,10162200,10090100,9913700
0,United States,1901,        Repair and maintenance,2341900,2296900,2175500,2098800
0,United States,1902,        Personal and laundry services,3015000,3234300,3254600,3248900
0,United States,1903,"        Religious, grantmaking, civic, professional, and similar organizations",3302900,3311000,3350000,3284000
0,United States,1904,        Private households,1268000,1320000,1310000,1282000
0,United States,2000,    Government and government enterprises,23987000,24230000,24589000,24682000
0,United States,2001,      Federal civilian,2783000,2781000,2817000,2884000
0,United States,2002,      Military,2040000,2042000,2079000,2092000
0,United States,2010,      State and local,19164000,19407000,19693000,19706000
0,United States,2011,        State government,5173000,5238000,5317000,5346000
0,United States,2012,        Local government,13991000,14169000,14376000,14360000
1000,Alabama,,Employment by place of work,,,,
1000,Alabama,10,Total employment (number of jobs),2545556,2604078,2582591,2479507
1000,Alabama,,By type,,,,
1000,Alabama,20,  Wage and salary employment,2073063,2095767,2075014,1968098
1000,Alabama,40,  Proprietors employment,472493,508311,507577,511409
1000,Alabama,50,    Farm proprietors employment,37981,43127,41846,41130
1000,Alabama,60,    Nonfarm proprietors employment 2/,434512,465184,465731,470279
1000,Alabama,,By industry,,,,
1000,Alabama,70,  Farm employment,47006,50753,49579,50583
1000,Alabama,80,  Nonfarm employment,2498550,2553325,2533012,2428924
1000,Alabama,90,    Private nonfarm employment,2094117,2143494,2122530,2017865
1000,Alabama,100,"      Forestry, fishing, and related activities",15742,15627,15837,14939
1000,Alabama,101,        Forestry and logging,8124,7800,7850,7056
1000,Alabama,102,"        Fishing, hunting and trapping",1612,1590,1554,1513
1000,Alabama,103,        Support activities for agriculture and forestry,6006,6237,6433,6370
1000,Alabama,200,"      Mining, quarrying, and oil and gas extraction",10408,10678,11666,10928
1000,Alabama,201,        Oil and gas extraction,2264,2355,3212,3140
1000,Alabama,202,        Mining (except oil and gas),6945,6966,7077,6644
1000,Alabama,203,        Support activities for mining,1199,1357,1377,1144
1000,Alabama,300,      Utilities,13353,13816,14538,14247
1000,Alabama,400,      Construction,178731,183410,174418,153203
1000,Alabama,401,        Construction of buildings,41096,41572,39066,34058
1000,Alabama,402,        Heavy and civil engineering construction,21768,22488,20993,19119
1000,Alabama,403,        Specialty trade contractors,115867,119350,114359,100026
1000,Alabama,500,      Manufacturing,309950,304225,290233,254643
1000,Alabama,510,        Durable goods manufacturing,191898,191373,183172,157764
1000,Alabama,511,          Wood product manufacturing,22476,21306,18833,13947
1000,Alabama,512,          Nonmetallic mineral product manufacturing,9454,10298,9363,7776
1000,Alabama,513,          Primary metal manufacturing,19149,18465,18034,15646
1000,Alabama,514,          Fabricated metal product manufacturing,29776,29738,29982,26360
1000,Alabama,515,          Machinery manufacturing,14390,13961,13323,11378
1000,Alabama,516,          Computer and electronic product manufacturing,15454,15592,13880,12596
1000,Alabama,517,"          Electrical equipment, appliance, and component manufacturing",6017,5684,5480,5128
1000,Alabama,518,"          Motor vehicles, bodies and trailers, and parts manufacturing",35163,34629,33242,27824
1000,Alabama,519,          Other transportation equipment manufacturing,16015,18210,19632,19582
1000,Alabama,521,          Furniture and related product manufacturing,15477,14823,13147,10142
1000,Alabama,522,          Miscellaneous manufacturing,8527,8667,8256,7385
1000,Alabama,530,        Nondurable goods manufacturing,118052,112852,107061,96879
1000,Alabama,531,          Food manufacturing,35239,34901,35052,33718
1000,Alabama,532,          Beverage and tobacco product manufacturing,2921,2763,2675,2183
1000,Alabama,533,          Textile mills,10465,8514,7165,5458
1000,Alabama,534,          Textile product mills,9424,8236,5874,4555
1000,Alabama,535,          Apparel manufacturing,12056,11119,9776,7769
1000,Alabama,536,          Leather and allied product manufacturing,219,167,172,145
1000,Alabama,537,          Paper manufacturing,14312,14087,13789,12834
1000,Alabama,538,          Printing and related support activities,6253,6116,5919,5337
1000,Alabama,539,          Petroleum and coal products manufacturing,2140,2077,1849,1673
1000,Alabama,541,          Chemical manufacturing,9949,9941,10182,9644
1000,Alabama,542,          Plastics and rubber products manufacturing,15074,14931,14608,13563
1000,Alabama,600,      Wholesale trade,88954,89565,88225,81674
1000,Alabama,700,      Retail trade,286664,292799,286020,273776
1000,Alabama,701,        Motor vehicle and parts dealers,37100,37498,35714,32115
1000,Alabama,702,        Furniture and home furnishings stores,10060,10261,9446,8146
1000,Alabama,703,        Electronics and appliance stores,6285,8168,7968,7545
1000,Alabama,704,        Building material and garden equipment and supplies dealers,22892,23300,22201,20640
1000,Alabama,705,        Food and beverage stores,36154,35381,35216,34064
1000,Alabama,706,        Health and personal care stores,18863,18803,19035,18902
1000,Alabama,707,        Gasoline stations,20826,20744,20048,18991
1000,Alabama,708,        Clothing and clothing accessories stores,22952,24051,23303,20970
1000,Alabama,709,"        Sporting goods, hobby, musical instrument, and book stores",11019,11704,11972,11866
1000,Alabama,711,        General merchandise stores,57548,59699,60033,59860
1000,Alabama,712,        Miscellaneous store retailers,23268,24095,23009,23200
1000,Alabama,713,        Nonstore retailers,19697,19095,18075,17477
1000,Alabama,800,      Transportation and warehousing,75346,77126,75047,69987
1000,Alabama,801,        Air transportation,1355,1253,1086,1009
1000,Alabama,802,        Rail transportation,(D),3676,(D),3363
1000,Alabama,803,        Water transportation,(D),997,1373,1257
1000,Alabama,804,        Truck transportation,42308,42335,39027,35889
1000,Alabama,805,        Transit and ground passenger transportation,2849,3059,3202,3190
1000,Alabama,806,        Pipeline transportation,660,679,721,709
1000,Alabama,807,        Scenic and sightseeing transportation,(D),180,252,(D)
1000,Alabama,808,        Support activities for transportation,7128,7636,8047,7557
1000,Alabama,809,        Couriers and messengers,8398,8423,(D),(D)
1000,Alabama,811,        Warehousing and storage,8334,8888,9394,9001
1000,Alabama,900,      Information,35306,33018,32583,30220
1000,Alabama,901,        Publishing industries (except Internet),8206,8364,8318,7523
1000,Alabama,902,        Motion picture and sound recording industries,2154,2294,2371,2333
1000,Alabama,903,        Broadcasting (except Internet),5416,5418,4797,4420
1000,Alabama,904,        Internet publishing and broadcasting 3/,200,(NA),(NA),(NA)
1000,Alabama,905,        Telecommunications,16749,14082,14198,13369
1000,Alabama,906,"        Data processing, hosting, and related services",2317,2339,2343,1996
1000,Alabama,907,        Other information services 3/,264,521,556,579
1000,Alabama,1000,      Finance and insurance,95144,99367,102959,106053
1000,Alabama,1001,        Monetary Authorities-central bank,(D),(D),(D),(D)
1000,Alabama,1002,        Credit intermediation and related activities,45226,46158,45929,44519
1000,Alabama,1003,"        Securities, commodity contracts, and other financial investments and related activities",14284,16945,20126,23575
1000,Alabama,1004,        Insurance carriers and related activities,33795,34101,34763,34882
1000,Alabama,1005,"        Funds, trusts, and other financial vehicles",(D),(D),(D),(D)
1000,Alabama,1100,      Real estate and rental and leasing,87583,94786,95950,93389
1000,Alabama,1101,        Real estate,75575,82952,84734,83214
1000,Alabama,1102,        Rental and leasing services,11788,11603,11016,9979
1000,Alabama,1103,        Lessors of nonfinancial intangible assets (except copyrighted works),220,231,200,196
1000,Alabama,1200,"      Professional, scientific, and technical services",135018,140997,143325,138868
1000,Alabama,1300,      Management of companies and enterprises,14128,15458,15807,16558
1000,Alabama,1400,      Administrative and support and waste management and remediation services,150863,157238,154966,145273
1000,Alabama,1401,        Administrative and support services,146713,152160,149833,140314
1000,Alabama,1402,        Waste management and remediation services,4150,5078,5133,4959
1000,Alabama,1500,      Educational services,32540,33821,35202,36578
1000,Alabama,1600,      Health care and social assistance,210489,218371,222144,221547
1000,Alabama,1601,        Ambulatory health care services,88114,92957,95434,96796
1000,Alabama,1602,        Hospitals,48260,48935,49031,47675
1000,Alabama,1603,        Nursing and residential care facilities,41857,42886,43757,43407
1000,Alabama,1604,        Social assistance,32258,33593,33922,33669
1000,Alabama,1700,"      Arts, entertainment, and recreation",31620,33038,33788,33925
1000,Alabama,1701,"        Performing arts, spectator sports, and related industries",14007,14526,14929,15859
1000,Alabama,1702,"        Museums, historical sites, and similar institutions",1226,1273,1301,1214
1000,Alabama,1703,"        Amusement, gambling, and recreation industries",16387,17239,17558,16852
1000,Alabama,1800,      Accommodation and food services,163156,167187,167863,163320
1000,Alabama,1801,        Accommodation,16353,16392,17459,16942
1000,Alabama,1802,        Food services and drinking places,146803,150795,150404,146378
1000,Alabama,1900,      Other services (except government and government enterprises),159122,162967,161959,158737
1000,Alabama,1901,        Repair and maintenance,37647,37054,35208,33653
1000,Alabama,1902,        Personal and laundry services,44973,49632,50454,50505
1000,Alabama,1903,"        Religious, grantmaking, civic, professional, and similar organizations",60049,59580,60185,59304
1000,Alabama,1904,        Private households,16453,16701,16112,15275
1000,Alabama,2000,    Government and government enterprises,404433,409831,410482,411059
1000,Alabama,2001,      Federal civilian,51744,51974,52552,54087
1000,Alabama,2002,      Military,36996,36262,32112,33131
1000,Alabama,2010,      State and local,315693,321595,325818,323841
1000,Alabama,2011,        State government,102411,104964,106262,105685
1000,Alabama,2012,        Local government,213282,216631,219556,218156
2000,Alaska,,Employment by place of work,,,,
2000,Alaska,10,Total employment (number of jobs),431320,439825,443538,442447
2000,Alaska,,By type,,,,
2000,Alaska,20,  Wage and salary employment,342900,346504,351102,350471
2000,Alaska,40,  Proprietors employment,88420,93321,92436,91976
2000,Alaska,50,    Farm proprietors employment,535,577,587,596
2000,Alaska,60,    Nonfarm proprietors employment 2/,87885,92744,91849,91380
2000,Alaska,,By industry,,,,
2000,Alaska,70,  Farm employment,743,772,933,1093
2000,Alaska,80,  Nonfarm employment,430577,439053,442605,441354
2000,Alaska,90,    Private nonfarm employment,326276,334555,336903,333487
2000,Alaska,100,"      Forestry, fishing, and related activities",12334,12025,12220,11574
2000,Alaska,101,        Forestry and logging,623,520,460,440
2000,Alaska,102,"        Fishing, hunting and trapping",(D),(D),(D),10602
2000,Alaska,103,        Support activities for agriculture and forestry,(D),(D),(D),532
2000,Alaska,200,"      Mining, quarrying, and oil and gas extraction",13490,15829,17386,16941
2000,Alaska,201,        Oil and gas extraction,3207,3565,4057,4086
2000,Alaska,202,        Mining (except oil and gas),2645,3576,3647,3469
2000,Alaska,203,        Support activities for mining,7638,8688,9682,9386
2000,Alaska,300,      Utilities,1945,1970,2068,2092
2000,Alaska,400,      Construction,26868,26484,25817,24690
2000,Alaska,401,        Construction of buildings,7770,7715,7251,6882
2000,Alaska,402,        Heavy and civil engineering construction,4429,4188,4208,4127
2000,Alaska,403,        Specialty trade contractors,14669,14581,14358,13681
2000,Alaska,500,      Manufacturing,15105,15372,15038,15295
2000,Alaska,510,        Durable goods manufacturing,3219,3562,3578,3722
2000,Alaska,511,          Wood product manufacturing,(D),715,682,617
2000,Alaska,512,          Nonmetallic mineral product manufacturing,(D),445,429,470
2000,Alaska,513,          Primary metal manufacturing,(D),(D),57,61
2000,Alaska,514,          Fabricated metal product manufacturing,609,(D),(D),635
2000,Alaska,515,          Machinery manufacturing,96,103,121,135
2000,Alaska,516,          Computer and electronic product manufacturing,102,120,127,(D)
2000,Alaska,517,"          Electrical equipment, appliance, and component manufacturing",40,44,37,47
2000,Alaska,518,"          Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D)
2000,Alaska,519,          Other transportation equipment manufacturing,310,422,465,(D)
2000,Alaska,521,          Furniture and related product manufacturing,250,244,(D),(D)
2000,Alaska,522,          Miscellaneous manufacturing,627,778,747,(D)
2000,Alaska,530,        Nondurable goods manufacturing,11886,11810,11460,11573
2000,Alaska,531,          Food manufacturing,10065,9941,9706,9796
2000,Alaska,532,          Beverage and tobacco product manufacturing,148,193,225,218
2000,Alaska,533,          Textile mills,(D),(D),(D),(D)
2000,Alaska,534,          Textile product mills,114,114,99,114
2000,Alaska,535,          Apparel manufacturing,(D),185,133,202
2000,Alaska,536,          Leather and allied product manufacturing,(D),(D),(D),55
2000,Alaska,537,          Paper manufacturing,(D),(D),(D),(D)
2000,Alaska,538,          Printing and related support activities,518,515,494,490
2000,Alaska,539,          Petroleum and coal products manufacturing,419,422,418,416
2000,Alaska,541,          Chemical manufacturing,245,220,141,98
2000,Alaska,542,          Plastics and rubber products manufacturing,(D),(D),(D),(D)
2000,Alaska,600,      Wholesale trade,7560,7580,7479,7273
2000,Alaska,700,      Retail trade,45331,45685,45135,44416
2000,Alaska,701,        Motor vehicle and parts dealers,4937,4840,4711,4429
2000,Alaska,702,        Furniture and home furnishings stores,976,997,1061,953
2000,Alaska,703,        Electronics and appliance stores,874,892,842,837
2000,Alaska,704,        Building material and garden equipment and supplies dealers,4046,3983,3849,3823
2000,Alaska,705,        Food and beverage stores,6954,6956,6889,6873
2000,Alaska,706,        Health and personal care stores,1313,1286,1250,1256
2000,Alaska,707,        Gasoline stations,1909,1895,1805,1831
2000,Alaska,708,        Clothing and clothing accessories stores,2584,2616,2566,2344
2000,Alaska,709,"        Sporting goods, hobby, musical instrument, and book stores",2759,2835,2868,2858
2000,Alaska,711,        General merchandise stores,9242,9456,9950,10154
2000,Alaska,712,        Miscellaneous store retailers,4909,5157,4868,4940
2000,Alaska,713,        Nonstore retailers,4828,4772,4476,4118
2000,Alaska,800,      Transportation and warehousing,22991,23711,23884,23015
2000,Alaska,801,        Air transportation,6646,6602,6704,6324
2000,Alaska,802,        Rail transportation,0,0,1,0
2000,Alaska,803,        Water transportation,987,1050,1071,989
2000,Alaska,804,        Truck transportation,4094,4229,4005,4025
2000,Alaska,805,        Transit and ground passenger transportation,2161,2256,2215,2212
2000,Alaska,806,        Pipeline transportation,(D),(D),(D),(D)
2000,Alaska,807,        Scenic and sightseeing transportation,1899,2228,2193,1955
2000,Alaska,808,        Support activities for transportation,3216,3192,3163,2978
2000,Alaska,809,        Couriers and messengers,(D),(D),(D),(D)
2000,Alaska,811,        Warehousing and storage,550,535,654,633
2000,Alaska,900,      Information,7985,8067,8011,7629
2000,Alaska,901,        Publishing industries (except Internet),1532,1546,1476,1251
2000,Alaska,902,        Motion picture and sound recording industries,501,502,499,504
2000,Alaska,903,        Broadcasting (except Internet),1032,1007,1000,961
2000,Alaska,904,        Internet publishing and broadcasting 3/,23,(NA),(NA),(NA)
2000,Alaska,905,        Telecommunications,4438,4615,4644,4587
2000,Alaska,906,"        Data processing, hosting, and related services",368,284,284,201
2000,Alaska,907,        Other information services 3/,91,113,108,125
2000,Alaska,1000,      Finance and insurance,10204,10800,11323,11509
2000,Alaska,1001,        Monetary Authorities-central bank,0,0,0,0
2000,Alaska,1002,        Credit intermediation and related activities,4937,5058,(D),5110
2000,Alaska,1003,"        Securities, commodity contracts, and other financial investments and related activities",2017,2399,(D),3289
2000,Alaska,1004,        Insurance carriers and related activities,2755,2720,2659,2541
2000,Alaska,1005,"        Funds, trusts, and other financial vehicles",495,623,562,569
2000,Alaska,1100,      Real estate and rental and leasing,14408,14889,14893,15042
2000,Alaska,1101,        Real estate,11140,11849,11725,11951
2000,Alaska,1102,        Rental and leasing services,(D),(D),(D),(D)
2000,Alaska,1103,        Lessors of nonfinancial intangible assets (except copyrighted works),(D),(D),(D),(D)
2000,Alaska,1200,"      Professional, scientific, and technical services",21633,22756,23591,23669
2000,Alaska,1300,      Management of companies and enterprises,2588,2662,2890,2995
2000,Alaska,1400,      Administrative and support and waste management and remediation services,16261,16972,17174,16916
2000,Alaska,1401,        Administrative and support services,14988,15578,15745,15414
2000,Alaska,1402,        Waste management and remediation services,1273,1394,1429,1502
2000,Alaska,1500,      Educational services,5165,5201,5128,5266
2000,Alaska,1600,      Health care and social assistance,41898,42705,43140,44456
2000,Alaska,1601,        Ambulatory health care services,17360,17620,17719,17965
2000,Alaska,1602,        Hospitals,9480,10295,10485,10891
2000,Alaska,1603,        Nursing and residential care facilities,2942,2865,3039,3258
2000,Alaska,1604,        Social assistance,12116,11925,11897,12342
2000,Alaska,1700,"      Arts, entertainment, and recreation",9479,9991,10277,10164
2000,Alaska,1701,"        Performing arts, spectator sports, and related industries",3920,4116,4173,4284
2000,Alaska,1702,"        Museums, historical sites, and similar institutions",469,483,501,385
2000,Alaska,1703,"        Amusement, gambling, and recreation industries",5090,5392,5603,5495
2000,Alaska,1800,      Accommodation and food services,31705,32055,32051,30938
2000,Alaska,1801,        Accommodation,10506,10456,10648,10095
2000,Alaska,1802,        Food services and drinking places,21199,21599,21403,20843
2000,Alaska,1900,      Other services (except government and government enterprises),19326,19801,19398,19607
2000,Alaska,1901,        Repair and maintenance,5459,5312,5014,5092
2000,Alaska,1902,        Personal and laundry services,4787,5166,5074,5162
2000,Alaska,1903,"        Religious, grantmaking, civic, professional, and similar organizations",7498,7631,7581,7608
2000,Alaska,1904,        Private households,1582,1692,1729,1745
2000,Alaska,2000,    Government and government enterprises,104301,104498,105702,107867
2000,Alaska,2001,      Federal civilian,16720,16848,16921,17084
2000,Alaska,2002,      Military,26394,26515,26695,27748
2000,Alaska,2010,      State and local,61187,61135,62086,63035
2000,Alaska,2011,        State government,23884,24362,24614,24896
2000,Alaska,2012,        Local government,37303,36773,37472,38139
4000,Arizona,,Employment by place of work,,,,
4000,Arizona,10,Total employment (number of jobs),3375218,3465075,3402808,3228493
4000,Arizona,,By type,,,,
4000,Arizona,20,  Wage and salary employment,2738783,2773088,2706550,2515005
4000,Arizona,40,  Proprietors employment,636435,691987,696258,713488
4000,Arizona,50,    Farm proprietors employment,9446,15029,15640,16253
4000,Arizona,60,    Nonfarm proprietors employment 2/,626989,676958,680618,697235
4000,Arizona,,By industry,,,,
4000,Arizona,70,  Farm employment,22869,28319,27272,28403
4000,Arizona,80,  Nonfarm employment,3352349,3436756,3375536,3200090
4000,Arizona,90,    Private nonfarm employment,2914967,2986999,2916467,2747465
4000,Arizona,100,"      Forestry, fishing, and related activities",17503,17526,16486,14828
4000,Arizona,101,        Forestry and logging,(D),(D),(D),318
4000,Arizona,102,"        Fishing, hunting and trapping",(D),(D),(D),608
4000,Arizona,103,        Support activities for agriculture and forestry,16470,16530,15498,13902
4000,Arizona,200,"      Mining, quarrying, and oil and gas extraction",13698,16208,19114,16520
4000,Arizona,201,        Oil and gas extraction,2918,2970,4492,(D)
4000,Arizona,202,        Mining (except oil and gas),10185,12371,13512,10712
4000,Arizona,203,        Support activities for mining,595,867,1110,(D)
4000,Arizona,300,      Utilities,12740,13181,13297,12844
4000,Arizona,400,      Construction,297178,282613,240419,179765
4000,Arizona,401,        Construction of buildings,57613,53421,46614,34635
4000,Arizona,402,        Heavy and civil engineering construction,32384,31763,28980,21114
4000,Arizona,403,        Specialty trade contractors,207181,197429,164825,124016
4000,Arizona,500,      Manufacturing,195723,193259,183747,165325
4000,Arizona,510,        Durable goods manufacturing,156865,155112,146811,130295
4000,Arizona,511,          Wood product manufacturing,10513,8443,6314,4452
4000,Arizona,512,          Nonmetallic mineral product manufacturing,10832,10464,8903,6771
4000,Arizona,513,          Primary metal manufacturing,5105,4859,4811,4161
4000,Arizona,514,          Fabricated metal product manufacturing,20336,21252,20129,16896
4000,Arizona,515,          Machinery manufacturing,8345,8493,8313,7220
4000,Arizona,516,          Computer and electronic product manufacturing,44814,43220,42186,38443
4000,Arizona,517,"          Electrical equipment, appliance, and component manufacturing",2736,3248,2950,2917
4000,Arizona,518,"          Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D)
4000,Arizona,519,          Other transportation equipment manufacturing,(D),(D),(D),(D)
4000,Arizona,521,          Furniture and related product manufacturing,10264,9746,8307,5986
4000,Arizona,522,          Miscellaneous manufacturing,11982,12778,11754,11266
4000,Arizona,530,        Nondurable goods manufacturing,38858,38147,36936,35030
4000,Arizona,531,          Food manufacturing,9983,9678,9537,9544
4000,Arizona,532,          Beverage and tobacco product manufacturing,3886,4050,3867,3653
4000,Arizona,533,          Textile mills,255,431,432,548
4000,Arizona,534,          Textile product mills,1604,1530,1369,1176
4000,Arizona,535,          Apparel manufacturing,861,987,808,947
4000,Arizona,536,          Leather and allied product manufacturing,383,357,424,451
4000,Arizona,537,          Paper manufacturing,2876,2761,2661,2335
4000,Arizona,538,          Printing and related support activities,8017,7912,7600,7195
4000,Arizona,539,          Petroleum and coal products manufacturing,241,241,229,222
4000,Arizona,541,          Chemical manufacturing,5260,5415,5120,4793
