SAEMP25N Total Full-Time and Part-Time Employment by NAICS Industry 1/,,,,,,,,
(number of jobs) ,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,
State or DC,,,,,,,,
GeoFips,GeoName,LineCode,Description,1998,1999,2000,2001,sector
1000,Alabama,1005,"        Funds, trusts, and other financial vehicles",1836,1827,2041,(D),
1000,Alabama,1100,      Real estate and rental and leasing,59718,57219,62967,64733,13
1000,Alabama,1101,        Real estate,49019,46419,51385,53065,
1000,Alabama,1102,        Rental and leasing services,10379,10515,11315,11368,
1000,Alabama,1103,        Lessors of nonfinancial intangible assets (except copyrighted works),(T),(T),(T),300,
1000,Alabama,1200,"      Professional, scientific, and technical services",101867,109499,112236,114607,13
1000,Alabama,1300,      Management of companies and enterprises,9178,8729,9156,9570,13
1000,Alabama,1400,      Administrative and support and waste management and remediation services,112845,119585,124575,122309,13
1000,Alabama,1401,        Administrative and support services,108861,115789,120967,118781,
1000,Alabama,1402,        Waste management and remediation services,3984,3796,3608,3528,
1000,Alabama,1500,      Educational services,22908,23831,24571,24600,13
1000,Alabama,1600,      Health care and social assistance,175759,176120,180532,179552,13
1000,Alabama,1601,        Ambulatory health care services,68944,69376,70116,70583,
1000,Alabama,1602,        Hospitals,45384,43201,44750,44814,
1000,Alabama,1603,        Nursing and residential care facilities,33932,34421,35273,36324,
1000,Alabama,1604,        Social assistance,27499,29122,30393,27831,
1000,Alabama,1700,"      Arts, entertainment, and recreation",24506,26048,26393,26276,13
1000,Alabama,1701,"        Performing arts, spectator sports, and related industries",10544,11043,11814,11215,
1000,Alabama,1702,"        Museums, historical sites, and similar institutions",(T),554,591,667,
1000,Alabama,1703,"        Amusement, gambling, and recreation industries",13479,14451,13988,14394,
1000,Alabama,1800,      Accommodation and food services,135842,140157,140139,(D),13
1000,Alabama,1801,        Accommodation,16261,16430,16414,(D),
1000,Alabama,1802,        Food services and drinking places,119581,123727,123725,128036,
1000,Alabama,1900,      Other services (except government and government enterprises),142110,146617,144062,146388,13
1000,Alabama,1901,        Repair and maintenance,32703,34468,33907,35591,
1000,Alabama,1902,        Personal and laundry services,37474,39638,39199,38374,
1000,Alabama,1903,"        Religious, grantmaking, civic, professional, and similar organizations",51187,53163,53466,55599,
1000,Alabama,1904,        Private households,20746,19348,17490,16824,
1000,Alabama,2000,    Government and government enterprises,384900,386201,385790,386379,
1000,Alabama,2001,      Federal civilian,53169,52340,52939,50104,
1000,Alabama,2002,      Military,42048,39858,38136,37853,
1000,Alabama,2010,      State and local,289683,294003,294715,298422,
1000,Alabama,2011,        State government,93506,93234,92301,95214,
1000,Alabama,2012,        Local government,196177,200769,202414,203208,
2000,Alaska,,Employment by place of work,,,,,
2000,Alaska,10,Total employment (number of jobs),382166,381307,389734,394565,
2000,Alaska,,By type,,,,,
2000,Alaska,20,  Wage and salary employment,298940,299907,307474,313492,
2000,Alaska,40,  Proprietors employment,83226,81400,82260,81073,
2000,Alaska,50,    Farm proprietors employment,547,546,549,559,
2000,Alaska,60,    Nonfarm proprietors employment 2/,82679,80854,81711,80514,
2000,Alaska,,By industry,,,,,
2000,Alaska,70,  Farm employment,848,897,786,775,14
2000,Alaska,80,  Nonfarm employment,381318,380410,388948,393790,
2000,Alaska,90,    Private nonfarm employment,285610,285404,292267,296462,
2000,Alaska,100,"      Forestry, fishing, and related activities",16295,14896,14077,(D),14
2000,Alaska,101,        Forestry and logging,1397,1455,1307,986,
2000,Alaska,102,"        Fishing, hunting and trapping",14399,12996,12372,(D),
2000,Alaska,103,        Support activities for agriculture and forestry,(T),(T),(T),(D),
2000,Alaska,200,"      Mining, quarrying, and oil and gas extraction",12691,10892,11623,(D),4
2000,Alaska,201,        Oil and gas extraction,3388,3187,3031,3287,
2000,Alaska,202,        Mining (except oil and gas),2890,2717,2715,(D),
2000,Alaska,203,        Support activities for mining,6413,4988,5877,6695,
2000,Alaska,300,      Utilities,1636,1674,1677,1691,
2000,Alaska,400,      Construction,21151,21246,21337,22339,13
2000,Alaska,401,        Construction of buildings,6101,6205,6094,6410,
2000,Alaska,402,        Heavy and civil engineering construction,3236,2944,3171,3342,
2000,Alaska,403,        Specialty trade contractors,11814,12097,12072,12587,
2000,Alaska,500,      Manufacturing,15223,13839,13761,14326,
2000,Alaska,510,        Durable goods manufacturing,3250,3039,2979,(D),
2000,Alaska,511,          Wood product manufacturing,936,786,726,759,3
2000,Alaska,512,          Nonmetallic mineral product manufacturing,401,427,424,438,7
2000,Alaska,513,          Primary metal manufacturing,(T),(T),(T),(D),8
2000,Alaska,514,          Fabricated metal product manufacturing,591,541,566,550,8
2000,Alaska,515,          Machinery manufacturing,(T),(T),(T),77,9
2000,Alaska,516,          Computer and electronic product manufacturing,(T),(T),(T),(D),10
2000,Alaska,517,"          Electrical equipment, appliance, and component manufacturing",(T),(T),(T),26,10
2000,Alaska,518,"          Motor vehicles, bodies and trailers, and parts manufacturing",(T),(T),(T),(D),11
2000,Alaska,519,          Other transportation equipment manufacturing,(T),(T),(T),273,11
2000,Alaska,521,          Furniture and related product manufacturing,(T),(T),(T),223,12
2000,Alaska,522,          Miscellaneous manufacturing,(T),(T),(T),513,12
2000,Alaska,530,        Nondurable goods manufacturing,11973,10800,10782,(D),
2000,Alaska,531,          Food manufacturing,9681,8838,8830,9402,1
2000,Alaska,532,          Beverage and tobacco product manufacturing,376,(T),(T),125,1
2000,Alaska,533,          Textile mills,(T),(T),(T),(D),2
2000,Alaska,534,          Textile product mills,(T),(T),(T),55,2
2000,Alaska,535,          Apparel manufacturing,(T),(T),(T),(D),2
2000,Alaska,536,          Leather and allied product manufacturing,(T),(T),(T),(D),2
2000,Alaska,537,          Paper manufacturing,(T),(T),(T),(D),3
2000,Alaska,538,          Printing and related support activities,682,651,677,623,3
2000,Alaska,539,          Petroleum and coal products manufacturing,364,341,341,405,4
2000,Alaska,541,          Chemical manufacturing,361,367,320,(D),5
2000,Alaska,542,          Plastics and rubber products manufacturing,(T),(T),(T),(D),6
2000,Alaska,600,      Wholesale trade,7287,7262,7188,7184,13
2000,Alaska,700,      Retail trade,42971,42579,42715,42401,13
2000,Alaska,701,        Motor vehicle and parts dealers,4553,4762,4774,4717,
2000,Alaska,702,        Furniture and home furnishings stores,716,750,766,813,
2000,Alaska,703,        Electronics and appliance stores,833,743,768,717,
2000,Alaska,704,        Building material and garden equipment and supplies dealers,2773,2836,2952,2937,
2000,Alaska,705,        Food and beverage stores,6924,6934,6767,6594,
2000,Alaska,706,        Health and personal care stores,1285,1067,1041,1080,
2000,Alaska,707,        Gasoline stations,1998,2012,1959,1854,
2000,Alaska,708,        Clothing and clothing accessories stores,2116,2148,2171,2238,
2000,Alaska,709,"        Sporting goods, hobby, musical instrument, and book stores",2804,2730,2700,2517,
2000,Alaska,711,        General merchandise stores,8530,8911,9059,9466,
2000,Alaska,712,        Miscellaneous store retailers,4721,4585,4633,4936,
2000,Alaska,713,        Nonstore retailers,5718,5101,5125,4532,
2000,Alaska,800,      Transportation and warehousing,21636,21407,22291,22543,13
2000,Alaska,801,        Air transportation,6664,6769,6896,6938,
2000,Alaska,802,        Rail transportation,(T),(T),(T),2,
2000,Alaska,803,        Water transportation,673,699,814,871,
2000,Alaska,804,        Truck transportation,3472,3260,3367,3452,
2000,Alaska,805,        Transit and ground passenger transportation,2346,2296,2337,2193,
2000,Alaska,806,        Pipeline transportation,961,965,1139,(D),
2000,Alaska,807,        Scenic and sightseeing transportation,1591,1612,1725,1704,
2000,Alaska,808,        Support activities for transportation,3119,3109,3260,3449,
2000,Alaska,809,        Couriers and messengers,2186,2194,2322,(D),
2000,Alaska,811,        Warehousing and storage,623,502,429,468,
2000,Alaska,900,      Information,7220,7506,8167,8144,13
2000,Alaska,901,        Publishing industries (except Internet),1544,1467,1444,1589,
2000,Alaska,902,        Motion picture and sound recording industries,496,453,442,568,
2000,Alaska,903,        Broadcasting (except Internet),1064,1072,1121,1131,
2000,Alaska,904,        Internet publishing and broadcasting 3/,(T),(T),(T),29,
2000,Alaska,905,        Telecommunications,3497,3943,4608,4408,
2000,Alaska,906,"        Data processing, hosting, and related services",533,486,462,353,
2000,Alaska,907,        Other information services 3/,(T),(T),(T),66,
2000,Alaska,1000,      Finance and insurance,11481,11336,11374,9583,13
2000,Alaska,1001,        Monetary Authorities-central bank,0,0,0,0,
2000,Alaska,1002,        Credit intermediation and related activities,4286,4303,4095,4269,
2000,Alaska,1003,"        Securities, commodity contracts, and other financial investments and related activities",4074,3914,4128,(D),
2000,Alaska,1004,        Insurance carriers and related activities,2504,2525,2520,(D),
2000,Alaska,1005,"        Funds, trusts, and other financial vehicles",617,594,631,(D),
2000,Alaska,1100,      Real estate and rental and leasing,11261,10523,11481,11887,13
2000,Alaska,1101,        Real estate,8284,7791,8595,8830,
2000,Alaska,1102,        Rental and leasing services,2919,2685,2825,(D),
2000,Alaska,1103,        Lessors of nonfinancial intangible assets (except copyrighted works),(T),(T),(T),(D),
2000,Alaska,1200,"      Professional, scientific, and technical services",17494,18351,18697,19522,13
2000,Alaska,1300,      Management of companies and enterprises,3008,3244,3161,3243,13
2000,Alaska,1400,      Administrative and support and waste management and remediation services,14306,14778,15432,15443,13
2000,Alaska,1401,        Administrative and support services,13287,13678,14256,14196,
2000,Alaska,1402,        Waste management and remediation services,1019,1100,1176,1247,
2000,Alaska,1500,      Educational services,3515,3779,3908,4391,13
2000,Alaska,1600,      Health care and social assistance,27318,28889,30984,33873,13
2000,Alaska,1601,        Ambulatory health care services,11041,11663,12583,13006,
2000,Alaska,1602,        Hospitals,6563,6700,7061,8210,
2000,Alaska,1603,        Nursing and residential care facilities,1576,1785,2167,2336,
2000,Alaska,1604,        Social assistance,8138,8741,9173,10321,
2000,Alaska,1700,"      Arts, entertainment, and recreation",7631,8113,8635,8632,13
2000,Alaska,1701,"        Performing arts, spectator sports, and related industries",3177,3484,3811,3677,
2000,Alaska,1702,"        Museums, historical sites, and similar institutions",(T),(T),(T),301,
2000,Alaska,1703,"        Amusement, gambling, and recreation industries",4242,4360,4551,4654,
2000,Alaska,1800,      Accommodation and food services,25931,26971,27742,28158,13
2000,Alaska,1801,        Accommodation,8220,8811,8789,9051,
2000,Alaska,1802,        Food services and drinking places,17711,18160,18953,19107,
2000,Alaska,1900,      Other services (except government and government enterprises),17555,18119,18017,(D),13
2000,Alaska,1901,        Repair and maintenance,5074,5334,5214,5335,
2000,Alaska,1902,        Personal and laundry services,4325,4502,4450,4695,
2000,Alaska,1903,"        Religious, grantmaking, civic, professional, and similar organizations",6645,6855,7042,6902,
2000,Alaska,1904,        Private households,1511,1428,1311,(D),
2000,Alaska,2000,    Government and government enterprises,95708,95006,96681,97328,
2000,Alaska,2001,      Federal civilian,16992,16501,17025,16375,
2000,Alaska,2002,      Military,22739,22190,22292,22011,
2000,Alaska,2010,      State and local,55977,56315,57364,58942,
2000,Alaska,2011,        State government,21746,21724,22275,23082,
2000,Alaska,2012,        Local government,34231,34591,35089,35860,
4000,Arizona,,Employment by place of work,,,,,
4000,Arizona,10,Total employment (number of jobs),2616288,2695892,2801510,2829002,
4000,Arizona,,By type,,,,,
4000,Arizona,20,  Wage and salary employment,2178443,2254939,2332044,2352082,
4000,Arizona,40,  Proprietors employment,437845,440953,469466,476920,
4000,Arizona,50,    Farm proprietors employment,7432,7278,7295,10086,
4000,Arizona,60,    Nonfarm proprietors employment 2/,430413,433675,462171,466834,
4000,Arizona,,By industry,,,,,
4000,Arizona,70,  Farm employment,20826,19548,19657,22316,14
4000,Arizona,80,  Nonfarm employment,2595462,2676344,2781853,2806686,
4000,Arizona,90,    Private nonfarm employment,2231178,2302999,2393104,2409504,
4000,Arizona,100,"      Forestry, fishing, and related activities",19718,19285,17561,18083,14
4000,Arizona,101,        Forestry and logging,598,(T),(T),(D),
4000,Arizona,102,"        Fishing, hunting and trapping",(T),(T),(T),(D),
4000,Arizona,103,        Support activities for agriculture and forestry,18427,18138,16471,17120,
4000,Arizona,200,"      Mining, quarrying, and oil and gas extraction",16175,14160,12630,12919,4
4000,Arizona,201,        Oil and gas extraction,(T),(T),(T),2405,
4000,Arizona,202,        Mining (except oil and gas),13359,11346,10005,10161,
4000,Arizona,203,        Support activities for mining,493,511,488,353,
4000,Arizona,300,      Utilities,9881,10393,10773,11233,
4000,Arizona,400,      Construction,187428,198267,206507,214418,13
4000,Arizona,401,        Construction of buildings,34563,36862,38953,41399,
4000,Arizona,402,        Heavy and civil engineering construction,22682,24620,27081,28638,
4000,Arizona,403,        Specialty trade contractors,130183,136785,140473,144381,
4000,Arizona,500,      Manufacturing,220487,217168,219420,211028,
4000,Arizona,510,        Durable goods manufacturing,175233,171404,174785,170312,
4000,Arizona,511,          Wood product manufacturing,8834,9394,8850,8518,3
4000,Arizona,512,          Nonmetallic mineral product manufacturing,8578,9076,9361,8625,7
4000,Arizona,513,          Primary metal manufacturing,6805,6275,6203,5918,8
4000,Arizona,514,          Fabricated metal product manufacturing,21328,20780,21303,20587,8
4000,Arizona,515,          Machinery manufacturing,10282,9834,10176,9697,9
4000,Arizona,516,          Computer and electronic product manufacturing,60461,56621,58112,57105,10
