Table with row headers in column A and column headers in rows 12 through 13.,,,,,,,,
"Census 2000 PHC-T-28.  Employment Status of the Population in Households for the United States, States, Counties, Places, and for Puerto Rico:  2000",,,,,,,,
,,,,,,,,
"Table 1.  Employment Status of the Population 16 Years Old and Over in Households for the United States, States, Counties, and for Puerto Rico: 2000",,,,,,,,
,,,,,,,,
Note:  Numbers rounded to 10's.,,,,,,,,
"Source:  U.S. Census Bureau, Census 2000, special tabulation.",,,,,,,,
"Internet release date:  October 6, 2003",,,,,,,,
"Last Revised:  November 4, 2003",,,,,,,,
"Note:  This houshold-only county file was reposted on November 4, 2003, to correct errors in the estimates for several counties in Puerto Rico.  An error in the county codes for Puerto Rico caused the previous version's estimates to be switched among these municipios: Anasco, Arecibo, Arroyo, Guanica, Guayama, Guayanilla, Guaynabo, and Gurabo.  The estimates have been corrected in this new version.",,,,,,,,
"[Data based on a sample.  For information on confidentiality protection, sampling error, nonsampling error, and definitions, see, http://www.census.gov/prod/cen2000/doc/sf3.pdf]",,,,,,,,
"United States
State
County",Total household population 16 and over,Civilian labor force,,,,Armed Forces,Not in labor force,
Cleburne County,"19,300","10,230","9,740",490,4.8,30,"9,030",
Cleveland County,"6,490","3,830","3,640",190,5.0,10,"2,650",
Columbia County,"18,920","10,960","10,200",760,6.9,10,"7,950",
Conway County,"15,500","9,130","8,550",580,6.4,10,"6,370",
Craighead County,"61,620","41,330","39,300","2,030",4.9,10,"20,280",
Crawford County,"39,490","24,630","23,200","1,430",5.8,40,"14,820",
Crittenden County,"36,200","22,050","20,520","1,520",6.9,10,"14,150",
Cross County,"14,460","8,630","8,030",610,7.1,10,"5,820",
Dallas County,"6,770","3,840","3,580",260,6.8,10,"2,930",
Desha County,"11,340","6,000","5,480",530,8.8,0,"5,330",
Drew County,"13,880","8,650","7,930",720,8.3,10,"5,220",
Faulkner County,"62,300","43,070","41,530","1,540",3.6,90,"19,140",
Franklin County,"13,410","7,940","7,610",330,4.2,0,"5,460",
Fulton County,"9,190","4,870","4,580",290,6.0,0,"4,320",
Garland County,"69,510","38,280","36,420","1,860",4.9,100,"31,140",
Grant County,"12,500","7,880","7,550",330,4.2,20,"4,600",
Greene County,"28,510","17,940","16,950",990,5.5,20,"10,550",
Hempstead County,"17,630","10,990","10,280",710,6.5,0,"6,650",
Hot Spring County,"23,300","14,180","13,480",700,4.9,10,"9,110",
Howard County,"10,550","6,680","6,350",330,4.9,0,"3,880",
Independence County,"26,030","16,060","15,190",870,5.4,30,"9,950",
Izard County,"10,090","5,120","4,910",210,4.1,0,"4,960",
Jackson County,"13,190","7,440","6,940",500,6.7,0,"5,750",
Jefferson County,"59,640","35,720","33,020","2,700",7.6,110,"23,820",
Johnson County,"17,250","10,110","9,550",560,5.5,20,"7,120",
Lafayette County,"6,590","3,440","3,170",270,7.8,0,"3,150",
Lawrence County,"13,490","7,500","7,100",400,5.3,10,"5,980",
Lee County,"7,990","4,130","3,590",550,13.3,20,"3,840",
Lincoln County,"8,420","4,980","4,630",350,7.0,0,"3,430",
Logan County,"16,920","9,650","9,180",470,4.9,20,"7,250",
Lonoke County,"38,850","25,720","24,730","1,000",3.9,680,"12,450",
Lttle River County,"10,390","6,320","5,930",400,6.3,0,"4,070",
Madison County,"10,820","6,670","6,500",180,2.7,0,"4,150",
Marion County,"12,890","6,460","6,140",320,5.0,20,"6,410",
Miller County,"29,820","17,970","16,840","1,130",6.3,40,"11,820",
Mississippi County,"37,440","22,350","20,440","1,910",8.5,0,"15,090",
Monroe County,"7,570","4,000","3,790",210,5.3,0,"3,570",
Montgomery County,"7,210","4,000","3,750",250,6.3,10,"3,200",
Nevada County,"7,400","4,450","4,250",190,4.3,0,"2,960",
Newton County,"6,700","3,670","3,500",170,4.6,0,"3,030",
Ouachita County,"21,810","12,270","11,370",900,7.3,0,"9,540",
Perry County,"7,800","4,640","4,410",220,4.7,10,"3,160",
Phillips County,"18,650","10,020","8,920","1,090",10.9,0,"8,630",
Pike County,"8,680","5,140","4,920",220,4.3,0,"3,540",
Poinsett County,"19,380","11,390","10,680",710,6.2,10,"7,980",
Polk County,"15,540","8,880","8,380",500,5.6,10,"6,650",
Pope County,"40,470","25,440","24,280","1,170",4.6,40,"14,990",
Prairie County,"7,410","4,260","4,070",190,4.5,10,"3,140",
Pulaski County,"272,580","180,570","172,260","8,310",4.6,"3,030","88,990",
Randolph County,"13,920","8,120","7,590",520,6.4,10,"5,800",
Saline County,"63,010","41,310","39,950","1,360",3.3,90,"21,610",
Scott County,"8,300","4,870","4,670",190,3.9,10,"3,420",
Searcy County,"6,590","3,270","3,120",150,4.6,0,"3,320",
Sebastian County,"86,300","55,290","52,960","2,330",4.2,240,"30,770",
Sevier County,"11,670","7,110","6,770",330,4.6,10,"4,550",
Sharp County,"13,630","6,420","6,010",410,6.4,0,"7,210",
St.  Francis County,"19,390","11,150","9,880","1,270",11.4,0,"8,240",
Stone County,"9,070","4,570","4,370",200,4.4,0,"4,490",
Union County,"34,350","19,990","18,630","1,360",6.8,30,"14,330",
Van Buren County,"12,830","6,500","6,080",420,6.5,0,"6,330",
Washington County,"116,690","79,900","76,960","2,940",3.7,30,"36,760",
White County,"49,070","30,410","28,620","1,790",5.9,120,"18,540",
Woodruff County,"6,650","3,780","3,470",300,7.9,0,"2,870",
Yell County,"15,960","9,550","9,070",480,5.0,10,"6,400",
California,"24,801,120","15,651,640","14,623,810","1,027,830",6.6,"89,180","9,060,300",California
Alameda County,"1,097,720","726,020","688,450","37,570",5.2,"1,100","370,600",
Alpine County,980,680,630,60,8.8,0,300,
Amador County,"24,490","14,220","13,610",610,4.3,0,"10,270",
Butte County,"154,680","89,210","81,410","7,800",8.7,180,"65,290",
Calaveras County,"32,170","17,500","16,200","1,300",7.4,10,"14,660",
Colusa County,"13,200","8,000","7,150",850,10.6,0,"5,190",
Contra Costa County,"713,570","470,650","450,000","20,650",4.4,600,"242,320",
Del Norte County,"17,800","9,910","8,910","1,010",10.2,50,"7,840",
El Dorado County,"119,410","77,830","73,750","4,080",5.2,60,"41,520",
Fresno County,"554,510","337,470","299,360","38,110",11.3,300,"216,740",
Glenn County,"18,910","11,580","10,530","1,050",9.1,10,"7,320",
Humboldt County,"96,650","59,400","54,680","4,720",7.9,130,"37,130",
Imperial County,"91,990","50,310","44,020","6,290",12.5,270,"41,410",
Inyo County,"14,000","8,510","8,010",500,5.9,0,"5,490",
Kern County,"444,050","263,120","232,030","31,090",11.8,"2,710","178,220",
Kings County,"75,910","45,410","39,430","5,970",13.1,"2,290","28,220",
Lake County,"44,930","22,690","20,300","2,380",10.5,40,"22,200",
Lassen County,"18,420","11,120","10,110","1,010",9.1,20,"7,290",
Los Angeles County,"6,952,990","4,258,840","3,927,780","331,060",7.8,"4,230","2,689,920",
Madera County,"82,920","48,380","42,050","6,330",13.1,70,"34,470",
Marin County,"191,420","131,350","127,680","3,680",2.8,230,"59,840",
Mariposa County,"12,400","6,830","6,170",660,9.7,0,"5,560",
Mendocino County,"65,130","40,890","38,040","2,850",7.0,60,"24,170",
Merced County,"143,250","85,850","74,900","10,950",12.8,20,"57,390",
Modoc County,"6,930","3,990","3,520",470,11.8,0,"2,940",
Mono County,"9,920","7,390","7,080",310,4.2,70,"2,460",
Monterey County,"279,740","175,850","160,990","14,870",8.5,"2,710","101,170",
Napa County,"92,520","60,100","57,640","2,470",4.1,70,"32,350",
Nevada County,"73,020","43,560","41,530","2,030",4.7,50,"29,420",
Orange County,"2,113,720","1,396,700","1,330,990","65,710",4.7,"1,970","715,050",
Placer County,"187,440","123,060","118,380","4,680",3.8,260,"64,130",
Plumas County,"16,580","9,400","8,510",890,9.5,0,"7,180",
Riverside County,"1,091,900","646,300","600,290","46,010",7.1,"2,360","443,240",
Sacramtento County,"897,290","580,330","544,390","35,940",6.2,"1,750","315,210",
San Benito County,"37,230","25,150","23,510","1,650",6.6,0,"12,070",
San Bernardino County,"1,170,570","715,950","658,790","57,170",8.0,"7,380","447,240",
San Diego County,"2,069,960","1,302,950","1,232,500","70,460",5.4,"46,050","720,960",
San Francisco County,"657,170","440,710","423,400","17,300",3.9,140,"216,330",
San Joaquin County,"390,800","239,300","217,910","21,390",8.9,240,"151,260",
San Luis Obispo County,"185,140","113,890","108,300","5,590",4.9,250,"71,000",
San Mateo County,"552,160","371,710","360,490","11,220",3.0,70,"180,380",
Santa Barbara County,"294,600","186,590","177,210","9,370",5.0,"2,120","105,900",
Santa Clara County,"1,279,990","868,730","837,400","31,330",3.6,620,"410,650",
Santa Cruz County,"192,980","134,490","127,200","7,290",5.4,10,"58,470",
Shasta County,"122,710","71,410","65,420","5,990",8.4,60,"51,240",
Sierra County,"2,810","1,670","1,520",160,9.6,0,"1,140",
Siskiyou County,"34,520","18,910","17,160","1,750",9.3,10,"15,600",
Solano County,"279,090","182,890","171,900","10,990",6.0,"4,650","91,550",
Sonoma County,"349,310","236,110","226,890","9,220",3.9,370,"112,830",
Stanislaus County,"315,570","195,190","173,890","21,300",10.9,130,"120,250",
Sutter County,"57,330","34,910","30,870","4,040",11.6,360,"22,060",
Tehama County,"41,620","23,020","20,810","2,210",9.6,20,"18,570",
Trinity County,"10,220","5,250","4,530",720,13.7,0,"4,970",
Tulare County,"251,640","152,550","133,710","18,840",12.4,120,"98,970",
Tuolumne County,"40,010","21,840","20,290","1,550",7.1,20,"18,150",
Ventura County,"549,460","363,290","346,200","17,090",4.7,"2,940","183,240",
Yolo County,"123,320","80,080","75,310","4,770",6.0,170,"43,070",
Yuba County,"42,400","22,620","20,110","2,510",11.1,"1,850","17,930",
Colorado,"3,224,430","2,280,810","2,192,760","88,050",3.9,"18,900","924,720",Colorado
Adams County,"267,080","190,100","181,560","8,540",4.5,280,"76,710",
Alamosa County,"10,330","6,980","6,540",440,6.3,0,"3,350",
Arapahoe County,"368,270","271,040","262,530","8,510",3.1,"1,610","95,620",
Archuleta County,"7,660","4,870","4,640",230,4.7,0,"2,780",
Baca County,"3,510","2,070","2,020",50,2.4,0,"1,440",
Bent County,"3,800","2,290","2,180",110,4.8,0,"1,510",
Boulder County,"223,220","165,800","160,270","5,530",3.3,100,"57,320",
Chaffee County,"12,110","7,130","6,810",320,4.5,0,"4,980",
Cheyenne County,"1,650","1,070","1,050",10,0.9,0,590,
Clear Creek County,"7,430","5,780","5,660",120,2.1,0,"1,650",
Conejos County,"5,980","3,320","3,120",200,6.0,0,"2,660",
Costilla County,"2,870","1,310","1,140",170,13.0,0,"1,560",
Crowley County,"2,610","1,470","1,390",80,5.4,0,"1,140",
Custer County,"2,790","1,580","1,520",60,3.8,0,"1,210",
Delta County,"21,140","12,010","11,360",640,5.3,0,"9,140",
Denver County,"433,680","297,100","282,630","14,470",4.9,260,"136,320",
Dolores County,"1,500",870,820,50,5.7,0,630,
Douglas County,"124,840","98,580","96,930","1,660",1.7,340,"25,920",
Eagle County,"32,670","26,460","25,670",790,3.0,0,"6,220",
El Paso County,"374,770","255,100","243,770","11,330",4.4,"15,410","104,270",
Elbert County,"14,620","11,050","10,780",270,2.4,10,"3,560",
Fremont County,"28,800","16,990","16,320",670,3.9,80,"11,730",
Garfield County,"32,310","23,390","22,780",610,2.6,20,"8,900",
Glipin County,"3,850","3,140","3,080",70,2.2,10,700,
Grand County,"9,780","7,530","7,350",180,2.4,0,"2,250",
Gunnison County,"10,780","8,180","7,870",310,3.8,0,"2,600",
Hinsdale County,650,460,450,10,2.2,0,190,
Huerfano County,"5,560","3,150","2,880",270,8.6,0,"2,410",
Jackson County,"1,230",830,790,40,4.8,0,400,
Jefferson County,"402,090","298,910","290,180","8,730",2.9,170,"103,010",
Kiowa County,"1,260",780,750,20,2.6,0,480,
Kit Carson County,"5,610","3,740","3,660",80,2.1,0,"1,870",
La Plata County,"33,500","23,720","22,550","1,170",4.9,0,"9,780",
Lake County,"5,830","4,260","4,020",250,5.9,0,"1,560",
Larimer County,"191,910","140,090","134,930","5,160",3.7,200,"51,630",
Las Animas County,"11,610","6,470","6,110",360,5.6,0,"5,140",
Lincoln County,"3,770","2,540","2,480",60,2.4,0,"1,240",
Logan County,"14,140","9,510","9,200",310,3.3,10,"4,620",
Mesa County,"87,750","57,160","54,600","2,560",4.5,10,"30,580",
Mineral County,690,430,420,10,2.3,0,260,
Moffat County,"9,630","6,770","6,500",280,4.1,0,"2,850",
Montezuma County,"17,620","11,380","10,600",790,6.9,0,"6,230",
Montrose County,"24,980","15,930","15,150",780,4.9,10,"9,050",
Morgan County,"19,420","12,400","11,870",520,4.2,10,"7,020",
Otero County,"15,070","9,000","8,290",710,7.9,0,"6,070",
Ouray County,"2,980","1,890","1,820",70,3.7,0,"1,090",
Park County,"11,500","8,130","7,900",230,2.8,0,"3,370",
Phillips County,"3,330","2,030","1,980",50,2.5,0,"1,300",
Pitkin County,"12,380","9,920","9,700",220,2.2,0,"2,460",
Prowers County,"10,360","6,860","6,660",190,2.8,20,"3,490",
Pueblo County,"105,560","63,080","59,430","3,650",5.8,150,"42,340",
Rio Blanco County,"4,430","3,040","2,900",140,4.6,0,"1,390",
Rio Grande County,"9,070","5,710","5,360",350,6.1,0,"3,360",
Routt County,"15,520","12,590","12,230",360,2.9,0,"2,930",
Saguache County,"4,420","2,670","2,500",160,6.0,0,"1,750",
San Juan County,470,320,310,10,3.1,0,140,
San Miguel County,"5,550","4,660","4,540",120,2.6,0,890,
Sedgwick County,"2,150","1,330","1,310",20,1.5,0,810,
Summit County,"19,120","16,470","16,180",290,1.8,0,"2,650",
Teller County,"15,760","11,430","10,980",450,3.9,60,"4,280",
Washington County,"3,780","2,400","2,360",40,1.7,0,"1,380",
Weld County,"130,430","90,680","86,620","4,060",4.5,160,"39,600",
Yuma County,"7,290","4,920","4,800",120,2.4,0,"2,380",
Connecticut,"2,546,000","1,724,940","1,649,510","75,430",4.4,"5,390","815,680",Connecticut
Fairfield County,"660,720","443,130","424,560","18,570",4.2,150,"217,440",
Hartford County,"642,460","429,970","409,420","20,550",4.8,460,"212,030",
Litchfield County,"140,190","99,020","95,430","3,590",3.6,70,"41,110",
Middlesex County,"116,890","83,610","80,920","2,690",3.2,90,"33,190",
New Haven County,"616,390","412,260","391,770","20,490",5.0,300,"203,830",
New London County,"191,110","128,880","123,910","4,960",3.8,"4,050","58,190",
Tolland County,"97,230","71,120","69,200","1,920",2.7,100,"26,010",
Windham County,"81,010","56,960","54,300","2,660",4.7,170,"23,880",
Delaware,"585,900","390,480","372,780","17,700",4.5,"3,410","192,010",Delaware
Kent County,"92,340","60,370","57,320","3,050",5.1,"2,700","29,280",
New Castle County,"371,650","257,190","246,000","11,190",4.4,550,"113,920",
Sussex County,"121,910","72,930","69,460","3,460",4.7,160,"48,820",
District of Columbia,"434,060","277,780","255,220","22,560",8.1,"1,830","154,450",District of Columbia
District of Columbia,"434,060","277,780","255,220","22,560",8.1,"1,830","154,450",
Florida,"12,364,410","7,337,140","6,966,840","370,290",5.0,"50,090","4,977,180",Florida
Alachua County,"166,320","108,260","102,960","5,310",4.9,150,"57,910",
Baker County,"14,730","9,720","9,330",390,4.0,50,"4,970",
Bay County,"113,370","68,090","64,830","3,260",4.8,"3,380","41,900",
Bradford County,"16,930","10,010","9,530",490,4.9,40,"6,880",
Brevard County,"374,880","216,720","206,830","9,890",4.6,"2,060","156,110",
Broward County,"1,262,010","798,410","757,940","40,470",5.1,"1,350","462,250",
Calhoun County,"8,680","4,930","4,610",320,6.5,0,"3,750",
Charlotte County,"119,470","52,510","50,690","1,820",3.5,30,"66,930",
Citrus County,"98,350","41,180","38,600","2,570",6.2,30,"57,150",
Clay County,"104,440","69,220","66,190","3,030",4.4,"2,490","32,720",
Collier County,"202,620","107,580","104,350","3,230",3.0,40,"95,000",
Columbia County,"41,130","24,340","22,960","1,380",5.7,40,"16,750",
De Soto County,"22,830","12,620","12,130",480,3.8,20,"10,200",
Dixie County,"10,060","4,980","4,610",370,7.4,0,"5,080",
Duval County,"580,160","383,510","365,580","17,930",4.7,"11,490","185,160",
Escambia County,"210,940","126,120","118,800","7,320",5.8,"4,620","80,200",
Flagler County,"41,410","19,620","18,820",800,4.1,20,"21,770",
Franklin County,"7,570","4,080","3,940",150,3.7,0,"3,490",
Gadsden County,"32,130","19,400","18,000","1,400",7.2,20,"12,700",
Gilchrist County,"10,010","6,020","5,760",270,4.5,0,"3,990",
Glades County,"7,590","3,860","3,590",260,6.7,0,"3,730",
Gulf County,"9,370","4,950","4,670",280,5.7,20,"4,410",
Hamilton County,"8,180","4,450","4,140",310,7.0,0,"3,720",
Hardee County,"18,460","10,650","9,760",890,8.4,0,"7,810",
Hendry County,"24,010","14,560","13,480","1,080",7.4,90,"9,360",
Hernando County,"107,170","46,360","44,020","2,350",5.1,90,"60,730",
Highlands County,"71,040","31,400","30,040","1,360",4.3,0,"39,640",
Hillsborough County,"756,240","497,930","475,020","22,910",4.6,"4,090","254,230",
Holmes County,"13,140","7,390","6,940",460,6.2,0,"5,740",
Indian River County,"91,790","46,990","45,320","1,680",3.6,10,"44,790",
Jackson County,"31,550","18,150","17,250",910,5.0,20,"13,370",
Jefferson County,"9,270","5,770","5,500",270,4.7,10,"3,490",
Lafayette County,"4,380","2,660","2,540",120,4.5,0,"1,720",
Lake County,"168,640","85,860","82,790","3,070",3.6,130,"82,650",
Lee County,"358,150","192,910","186,020","6,890",3.6,110,"165,130",
Leon County,"180,760","128,080","122,010","6,070",4.7,200,"52,470",
Levy County,"26,780","13,750","12,940",810,5.9,30,"13,000",
Liberty County,"4,250","2,500","2,380",120,4.8,0,"1,750",
Madison County,"12,950","7,340","6,940",400,5.4,0,"5,610",
Manatee County,"209,770","115,510","111,510","4,000",3.5,130,"94,140",
Marion County,"203,230","103,380","98,040","5,340",5.2,110,"99,740",
