GeoFips,GeoName,LineCode,Description,Jobs
1000,Alabama,620,      Retail trade,401752
1000,Alabama,621,        Building materials and garden equipment,16796
1000,Alabama,622,        General merchandise stores,53238
1000,Alabama,623,        Food stores,53666
1000,Alabama,624,        Automotive dealers and service stations,48245
1000,Alabama,625,        Apparel and accessory stores,19864
1000,Alabama,626,        Home furniture and furnishings stores,16108
1000,Alabama,627,        Eating and drinking places,125126
1000,Alabama,628,        Miscellaneous retail,68709
1000,Alabama,700,"      Finance, insurance, and real estate",146040
1000,Alabama,710,        Depository and nondepository institutions,41674
1000,Alabama,730,"        Other finance, insurance, and real estate",104366
1000,Alabama,731,          Security and commodity brokers,4315
1000,Alabama,732,          Insurance carriers,17181
1000,Alabama,733,"          Insurance agents, brokers, and services",14544
1000,Alabama,734,          Real estate,52204
1000,Alabama,735,"          Combined real estate, insurance, etc. 4/",(NA)
1000,Alabama,736,          Holding and other investment offices,16122
1000,Alabama,800,      Services,621073
1000,Alabama,805,        Hotels and other lodging places,16639
1000,Alabama,810,        Personal services,43105
1000,Alabama,815,        Private households,17490
1000,Alabama,820,        Business services,141453
1000,Alabama,825,"        Automotive repair, services, and parking",24683
1000,Alabama,830,        Miscellaneous repair services,15051
1000,Alabama,835,        Amusement and recreation services,26325
1000,Alabama,840,        Motion pictures,5078
1000,Alabama,845,        Health services,143154
1000,Alabama,850,        Legal services,18130
1000,Alabama,855,        Educational services,26907
1000,Alabama,860,        Social services 5/,28550
1000,Alabama,865,"        Museums, botanical, zoological gardens",516
1000,Alabama,870,        Membership organizations,44187
1000,Alabama,875,        Engineering and management services 6/,58913
1000,Alabama,880,        Miscellaneous services,10892
1000,Alabama,900,    Government and government enterprises,385790
1000,Alabama,910,      Federal civilian,52939
1000,Alabama,920,      Military,38136
1000,Alabama,930,      State and local,294715
1000,Alabama,931,        State government,92301
1000,Alabama,932,        Local government,202414
2000,Alaska,,Employment by place of work,
2000,Alaska,10,Total employment (number of jobs),389734
2000,Alaska,,By type,
2000,Alaska,20,  Wage and salary employment,307474
2000,Alaska,40,  Proprietors employment,82260
2000,Alaska,50,    Farm proprietors employment,549
2000,Alaska,60,    Nonfarm proprietors employment 2/,81711
2000,Alaska,,By industry,
2000,Alaska,70,  Farm employment,786
2000,Alaska,80,  Nonfarm employment,388948
2000,Alaska,90,    Private nonfarm employment,292267
2000,Alaska,100,"      Agricultural services, forestry, and fishing",16065
2000,Alaska,110,        Agricultural services,2443
2000,Alaska,120,        Forestry and fishing,13622
2000,Alaska,121,          Forestry,283
2000,Alaska,122,          Fishing,13339
2000,Alaska,200,      Mining,11369
2000,Alaska,210,        Metal mining,1968
2000,Alaska,220,        Coal mining,(D)
2000,Alaska,230,        Oil and gas extraction,8962
2000,Alaska,240,"        Nonmetallic minerals, except fuels",(D)
2000,Alaska,300,      Construction,20678
2000,Alaska,310,        General building contractors,5514
2000,Alaska,320,        Heavy construction contractors,3029
2000,Alaska,330,        Special trade contractors,12135
2000,Alaska,400,      Manufacturing,16270
2000,Alaska,410,        Durable goods manufacturing,4100
2000,Alaska,413,          Lumber and wood products,1908
2000,Alaska,417,          Furniture and fixtures,122
2000,Alaska,420,"          Stone, clay, and glass products",(D)
2000,Alaska,423,          Primary metal industries,(D)
2000,Alaska,426,          Fabricated metal products,396
2000,Alaska,429,          Industrial machinery and equipment,107
2000,Alaska,432,          Electronic and other electric equipment,48
2000,Alaska,435,          Motor vehicles and equipment,(D)
2000,Alaska,438,          Other transportation equipment,(D)
2000,Alaska,441,          Instruments and related products,(D)
2000,Alaska,444,          Miscellaneous manufacturing industries,(D)
2000,Alaska,447,          Ordnance 3/,(NA)
2000,Alaska,450,        Nondurable goods manufacturing,12170
2000,Alaska,453,          Food and kindred products,9277
2000,Alaska,456,          Tobacco products,3
2000,Alaska,459,          Textile mill products,(D)
2000,Alaska,462,          Apparel and other textile products,250
2000,Alaska,465,          Paper and allied products,(D)
2000,Alaska,468,          Printing and publishing,1809
2000,Alaska,471,          Chemicals and allied products,287
2000,Alaska,474,          Petroleum and coal products,411
2000,Alaska,477,          Rubber and miscellaneous plastics products,(D)
2000,Alaska,480,          Leather and leather products,(D)
2000,Alaska,500,      Transportation and public utilities,31433
2000,Alaska,510,        Railroad transportation,2
2000,Alaska,520,        Trucking and warehousing,4155
2000,Alaska,530,        Water transportation,2391
2000,Alaska,540,        Other transportation,16193
2000,Alaska,541,          Local and interurban passenger transit,2736
2000,Alaska,542,          Transportation by air,10141
2000,Alaska,543,"          Pipelines, except natural gas",(D)
2000,Alaska,544,          Transportation services,(D)
2000,Alaska,560,        Communications,5700
2000,Alaska,570,"        Electric, gas, and sanitary services",2992
2000,Alaska,610,      Wholesale trade,9893
2000,Alaska,620,      Retail trade,59507
2000,Alaska,621,        Building materials and garden equipment,2566
2000,Alaska,622,        General merchandise stores,8471
2000,Alaska,623,        Food stores,7199
2000,Alaska,624,        Automotive dealers and service stations,6410
2000,Alaska,625,        Apparel and accessory stores,1824
2000,Alaska,626,        Home furniture and furnishings stores,1813
2000,Alaska,627,        Eating and drinking places,18482
2000,Alaska,628,        Miscellaneous retail,12742
2000,Alaska,700,"      Finance, insurance, and real estate",22589
2000,Alaska,710,        Depository and nondepository institutions,(D)
2000,Alaska,730,"        Other finance, insurance, and real estate",(D)
2000,Alaska,731,          Security and commodity brokers,(D)
2000,Alaska,732,          Insurance carriers,893
2000,Alaska,733,"          Insurance agents, brokers, and services",1752
2000,Alaska,734,          Real estate,11178
2000,Alaska,735,"          Combined real estate, insurance, etc. 4/",(NA)
2000,Alaska,736,          Holding and other investment offices,3512
2000,Alaska,800,      Services,104463
2000,Alaska,805,        Hotels and other lodging places,9682
2000,Alaska,810,        Personal services,5219
2000,Alaska,815,        Private households,(D)
2000,Alaska,820,        Business services,14752
2000,Alaska,825,"        Automotive repair, services, and parking",3866
2000,Alaska,830,        Miscellaneous repair services,2191
2000,Alaska,835,        Amusement and recreation services,8828
2000,Alaska,840,        Motion pictures,1205
2000,Alaska,845,        Health services,19765
2000,Alaska,850,        Legal services,2498
2000,Alaska,855,        Educational services,4622
2000,Alaska,860,        Social services 5/,8454
2000,Alaska,865,"        Museums, botanical, zoological gardens",241
2000,Alaska,870,        Membership organizations,5870
2000,Alaska,875,        Engineering and management services 6/,12068
2000,Alaska,880,        Miscellaneous services,(D)
2000,Alaska,900,    Government and government enterprises,96681
2000,Alaska,910,      Federal civilian,17025
2000,Alaska,920,      Military,22292
2000,Alaska,930,      State and local,57364
2000,Alaska,931,        State government,22275
2000,Alaska,932,        Local government,35089
4000,Arizona,,Employment by place of work,
4000,Arizona,10,Total employment (number of jobs),2801510
4000,Arizona,,By type,
4000,Arizona,20,  Wage and salary employment,2332044
4000,Arizona,40,  Proprietors employment,469466
4000,Arizona,50,    Farm proprietors employment,7295
4000,Arizona,60,    Nonfarm proprietors employment 2/,462171
4000,Arizona,,By industry,
4000,Arizona,70,  Farm employment,19657
4000,Arizona,80,  Nonfarm employment,2781853
4000,Arizona,90,    Private nonfarm employment,2393104
4000,Arizona,100,"      Agricultural services, forestry, and fishing",43425
4000,Arizona,110,        Agricultural services,42423
4000,Arizona,120,        Forestry and fishing,1002
4000,Arizona,121,          Forestry,(D)
4000,Arizona,122,          Fishing,(D)
4000,Arizona,200,      Mining,12816
4000,Arizona,210,        Metal mining,7856
4000,Arizona,220,        Coal mining,(D)
4000,Arizona,230,        Oil and gas extraction,(D)
4000,Arizona,240,"        Nonmetallic minerals, except fuels",1715
4000,Arizona,300,      Construction,199230
4000,Arizona,310,        General building contractors,36087
4000,Arizona,320,        Heavy construction contractors,19401
4000,Arizona,330,        Special trade contractors,143742
4000,Arizona,400,      Manufacturing,225152
4000,Arizona,410,        Durable goods manufacturing,173605
4000,Arizona,413,          Lumber and wood products,11030
4000,Arizona,417,          Furniture and fixtures,6710
4000,Arizona,420,"          Stone, clay, and glass products",9807
4000,Arizona,423,          Primary metal industries,6661
4000,Arizona,426,          Fabricated metal products,16694
4000,Arizona,429,          Industrial machinery and equipment,15861
4000,Arizona,432,          Electronic and other electric equipment,47725
4000,Arizona,435,          Motor vehicles and equipment,5140
4000,Arizona,438,          Other transportation equipment,33910
4000,Arizona,441,          Instruments and related products,12917
4000,Arizona,444,          Miscellaneous manufacturing industries,7150
4000,Arizona,447,          Ordnance 3/,(NA)
4000,Arizona,450,        Nondurable goods manufacturing,51547
4000,Arizona,453,          Food and kindred products,10875
4000,Arizona,456,          Tobacco products,3
4000,Arizona,459,          Textile mill products,1142
4000,Arizona,462,          Apparel and other textile products,2920
4000,Arizona,465,          Paper and allied products,2638
4000,Arizona,468,          Printing and publishing,19408
4000,Arizona,471,          Chemicals and allied products,6175
4000,Arizona,474,          Petroleum and coal products,230
4000,Arizona,477,          Rubber and miscellaneous plastics products,7719
4000,Arizona,480,          Leather and leather products,437
4000,Arizona,500,      Transportation and public utilities,125055
4000,Arizona,510,        Railroad transportation,2499
4000,Arizona,520,        Trucking and warehousing,32199
4000,Arizona,530,        Water transportation,492
4000,Arizona,540,        Other transportation,49244
4000,Arizona,541,          Local and interurban passenger transit,8248
4000,Arizona,542,          Transportation by air,31076
4000,Arizona,543,"          Pipelines, except natural gas",129
4000,Arizona,544,          Transportation services,9791
4000,Arizona,560,        Communications,26912
4000,Arizona,570,"        Electric, gas, and sanitary services",13709
4000,Arizona,610,      Wholesale trade,121982
4000,Arizona,620,      Retail trade,480812
4000,Arizona,621,        Building materials and garden equipment,17568
4000,Arizona,622,        General merchandise stores,49658
4000,Arizona,623,        Food stores,63161
4000,Arizona,624,        Automotive dealers and service stations,54247
4000,Arizona,625,        Apparel and accessory stores,16007
4000,Arizona,626,        Home furniture and furnishings stores,25740
4000,Arizona,627,        Eating and drinking places,160138
4000,Arizona,628,        Miscellaneous retail,94293
4000,Arizona,700,"      Finance, insurance, and real estate",282400
4000,Arizona,710,        Depository and nondepository institutions,65655
4000,Arizona,730,"        Other finance, insurance, and real estate",216745
4000,Arizona,731,          Security and commodity brokers,12403
4000,Arizona,732,          Insurance carriers,22698
4000,Arizona,733,"          Insurance agents, brokers, and services",22492
4000,Arizona,734,          Real estate,117661
4000,Arizona,735,"          Combined real estate, insurance, etc. 4/",(NA)
4000,Arizona,736,          Holding and other investment offices,41491
4000,Arizona,800,      Services,902232
4000,Arizona,805,        Hotels and other lodging places,49840
4000,Arizona,810,        Personal services,48554
4000,Arizona,815,        Private households,19302
4000,Arizona,820,        Business services,269025
4000,Arizona,825,"        Automotive repair, services, and parking",33959
4000,Arizona,830,        Miscellaneous repair services,15499
4000,Arizona,835,        Amusement and recreation services,54095
4000,Arizona,840,        Motion pictures,8254
4000,Arizona,845,        Health services,166680
4000,Arizona,850,        Legal services,18620
4000,Arizona,855,        Educational services,33088
4000,Arizona,860,        Social services 5/,44607
4000,Arizona,865,"        Museums, botanical, zoological gardens",1480
4000,Arizona,870,        Membership organizations,28156
4000,Arizona,875,        Engineering and management services 6/,95847
4000,Arizona,880,        Miscellaneous services,15226
4000,Arizona,900,    Government and government enterprises,388749
4000,Arizona,910,      Federal civilian,48152
4000,Arizona,920,      Military,33096
4000,Arizona,930,      State and local,307501
4000,Arizona,931,        State government,81026
4000,Arizona,932,        Local government,226475
5000,Arkansas,,Employment by place of work,
5000,Arkansas,10,Total employment (number of jobs),1482449
5000,Arkansas,,By type,
5000,Arkansas,20,  Wage and salary employment,1210817
5000,Arkansas,40,  Proprietors employment,271632
5000,Arkansas,50,    Farm proprietors employment,49482
5000,Arkansas,60,    Nonfarm proprietors employment 2/,222150
5000,Arkansas,,By industry,
5000,Arkansas,70,  Farm employment,63839
5000,Arkansas,80,  Nonfarm employment,1418610
5000,Arkansas,90,    Private nonfarm employment,1212302
5000,Arkansas,100,"      Agricultural services, forestry, and fishing",19407
5000,Arkansas,110,        Agricultural services,16173
5000,Arkansas,120,        Forestry and fishing,3234
5000,Arkansas,121,          Forestry,2547
5000,Arkansas,122,          Fishing,687
5000,Arkansas,200,      Mining,6068
5000,Arkansas,210,        Metal mining,(D)
5000,Arkansas,220,        Coal mining,(D)
5000,Arkansas,230,        Oil and gas extraction,4194
5000,Arkansas,240,"        Nonmetallic minerals, except fuels",1742
5000,Arkansas,300,      Construction,86516
5000,Arkansas,310,        General building contractors,19165
5000,Arkansas,320,        Heavy construction contractors,11433
5000,Arkansas,330,        Special trade contractors,55918
5000,Arkansas,400,      Manufacturing,258428
5000,Arkansas,410,        Durable goods manufacturing,140758
5000,Arkansas,413,          Lumber and wood products,25012
5000,Arkansas,417,          Furniture and fixtures,11383
5000,Arkansas,420,"          Stone, clay, and glass products",5745
5000,Arkansas,423,          Primary metal industries,10190
5000,Arkansas,426,          Fabricated metal products,20660
5000,Arkansas,429,          Industrial machinery and equipment,19507
5000,Arkansas,432,          Electronic and other electric equipment,19731
5000,Arkansas,435,          Motor vehicles and equipment,9697
5000,Arkansas,438,          Other transportation equipment,8652
5000,Arkansas,441,          Instruments and related products,5310
5000,Arkansas,444,          Miscellaneous manufacturing industries,4871
5000,Arkansas,447,          Ordnance 3/,(NA)
5000,Arkansas,450,        Nondurable goods manufacturing,117670
5000,Arkansas,453,          Food and kindred products,56350
5000,Arkansas,456,          Tobacco products,6
5000,Arkansas,459,          Textile mill products,4201
5000,Arkansas,462,          Apparel and other textile products,5049
5000,Arkansas,465,          Paper and allied products,14665
5000,Arkansas,468,          Printing and publishing,12215
5000,Arkansas,471,          Chemicals and allied products,7008
5000,Arkansas,474,          Petroleum and coal products,881
5000,Arkansas,477,          Rubber and miscellaneous plastics products,14983
5000,Arkansas,480,          Leather and leather products,2312
5000,Arkansas,500,      Transportation and public utilities,85518
5000,Arkansas,510,        Railroad transportation,3819
5000,Arkansas,520,        Trucking and warehousing,47601
5000,Arkansas,530,        Water transportation,874
5000,Arkansas,540,        Other transportation,12392
5000,Arkansas,541,          Local and interurban passenger transit,2449
5000,Arkansas,542,          Transportation by air,6646
5000,Arkansas,543,"          Pipelines, except natural gas",208
5000,Arkansas,544,          Transportation services,3089
5000,Arkansas,560,        Communications,11861
5000,Arkansas,570,"        Electric, gas, and sanitary services",8971
5000,Arkansas,610,      Wholesale trade,57034
5000,Arkansas,620,      Retail trade,249262
5000,Arkansas,621,        Building materials and garden equipment,9821
5000,Arkansas,622,        General merchandise stores,51649
5000,Arkansas,623,        Food stores,32028
5000,Arkansas,624,        Automotive dealers and service stations,28151
5000,Arkansas,625,        Apparel and accessory stores,8710
5000,Arkansas,626,        Home furniture and furnishings stores,9325
5000,Arkansas,627,        Eating and drinking places,69684
5000,Arkansas,628,        Miscellaneous retail,39894
5000,Arkansas,700,"      Finance, insurance, and real estate",80985
5000,Arkansas,710,        Depository and nondepository institutions,20637
5000,Arkansas,730,"        Other finance, insurance, and real estate",60348
5000,Arkansas,731,          Security and commodity brokers,3347
5000,Arkansas,732,          Insurance carriers,6343
5000,Arkansas,733,"          Insurance agents, brokers, and services",10511
5000,Arkansas,734,          Real estate,32195
5000,Arkansas,735,"          Combined real estate, insurance, etc. 4/",(NA)
5000,Arkansas,736,          Holding and other investment offices,7952
5000,Arkansas,800,      Services,369084
5000,Arkansas,805,        Hotels and other lodging places,12371
5000,Arkansas,810,        Personal services,25632
5000,Arkansas,815,        Private households,9397
5000,Arkansas,820,        Business services,81363
5000,Arkansas,825,"        Automotive repair, services, and parking",14912
5000,Arkansas,830,        Miscellaneous repair services,8082
5000,Arkansas,835,        Amusement and recreation services,15801
5000,Arkansas,840,        Motion pictures,3632
5000,Arkansas,845,        Health services,102145
5000,Arkansas,850,        Legal services,7285
5000,Arkansas,855,        Educational services,14071
5000,Arkansas,860,        Social services 5/,23769
5000,Arkansas,865,"        Museums, botanical, zoological gardens",188
5000,Arkansas,870,        Membership organizations,20767
5000,Arkansas,875,        Engineering and management services 6/,21594
5000,Arkansas,880,        Miscellaneous services,8075
5000,Arkansas,900,    Government and government enterprises,206308
5000,Arkansas,910,      Federal civilian,22257
5000,Arkansas,920,      Military,18658
5000,Arkansas,930,      State and local,165393
5000,Arkansas,931,        State government,64223
5000,Arkansas,932,        Local government,101170
6000,California,,Employment by place of work,
6000,California,10,Total employment (number of jobs),19228895
6000,California,,By type,
6000,California,20,  Wage and salary employment,15621983
6000,California,40,  Proprietors employment,3606912
6000,California,50,    Farm proprietors employment,88324
6000,California,60,    Nonfarm proprietors employment 2/,3518588
6000,California,,By industry,
6000,California,70,  Farm employment,326684
6000,California,80,  Nonfarm employment,18902211
6000,California,90,    Private nonfarm employment,16343004
6000,California,100,"      Agricultural services, forestry, and fishing",366116
6000,California,110,        Agricultural services,353781
6000,California,120,        Forestry and fishing,12335
6000,California,121,          Forestry,5739
6000,California,122,          Fishing,6596
6000,California,200,      Mining,36441
6000,California,210,        Metal mining,(D)
6000,California,220,        Coal mining,(D)
6000,California,230,        Oil and gas extraction,28454
6000,California,240,"        Nonmetallic minerals, except fuels",6104
6000,California,300,      Construction,992669
6000,California,310,        General building contractors,237495
6000,California,320,        Heavy construction contractors,78837
6000,California,330,        Special trade contractors,676337
6000,California,400,      Manufacturing,2035437
6000,California,410,        Durable goods manufacturing,1275061
6000,California,413,          Lumber and wood products,66126
6000,California,417,          Furniture and fixtures,67471
6000,California,420,"          Stone, clay, and glass products",53939
6000,California,423,          Primary metal industries,37313
6000,California,426,          Fabricated metal products,139562
6000,California,429,          Industrial machinery and equipment,234931
6000,California,432,          Electronic and other electric equipment,279430
6000,California,435,          Motor vehicles and equipment,35697
6000,California,438,          Other transportation equipment,120028
6000,California,441,          Instruments and related products,177166
6000,California,444,          Miscellaneous manufacturing industries,63398
6000,California,447,          Ordnance 3/,(NA)
6000,California,450,        Nondurable goods manufacturing,760376
6000,California,453,          Food and kindred products,192130
6000,California,456,          Tobacco products,30
6000,California,459,          Textile mill products,28845
6000,California,462,          Apparel and other textile products,148465
6000,California,465,          Paper and allied products,39041
6000,California,468,          Printing and publishing,167637
6000,California,471,          Chemicals and allied products,85780
6000,California,474,          Petroleum and coal products,17083
6000,California,477,          Rubber and miscellaneous plastics products,74505
6000,California,480,          Leather and leather products,6860
6000,California,500,      Transportation and public utilities,874739
6000,California,510,        Railroad transportation,12983
6000,California,520,        Trucking and warehousing,257938
6000,California,530,        Water transportation,26258
6000,California,540,        Other transportation,295669
6000,California,541,          Local and interurban passenger transit,62596
6000,California,542,          Transportation by air,145481
6000,California,543,"          Pipelines, except natural gas",848
6000,California,544,          Transportation services,86744
6000,California,560,        Communications,200391
6000,California,570,"        Electric, gas, and sanitary services",81500
6000,California,610,      Wholesale trade,902548
6000,California,620,      Retail trade,2936351
6000,California,621,        Building materials and garden equipment,107105
6000,California,622,        General merchandise stores,266137
6000,California,623,        Food stores,352989
6000,California,624,        Automotive dealers and service stations,270930
6000,California,625,        Apparel and accessory stores,171261
6000,California,626,        Home furniture and furnishings stores,172313
6000,California,627,        Eating and drinking places,997889
6000,California,628,        Miscellaneous retail,597727
6000,California,700,"      Finance, insurance, and real estate",1629432
6000,California,710,        Depository and nondepository institutions,298648
6000,California,730,"        Other finance, insurance, and real estate",1330784
6000,California,731,          Security and commodity brokers,96483
6000,California,732,          Insurance carriers,150586
6000,California,733,"          Insurance agents, brokers, and services",145121
6000,California,734,          Real estate,691212
6000,California,735,"          Combined real estate, insurance, etc. 4/",(NA)
6000,California,736,          Holding and other investment offices,247382
6000,California,800,      Services,6569271
6000,California,805,        Hotels and other lodging places,220812
6000,California,810,        Personal services,337474
6000,California,815,        Private households,246218
6000,California,820,        Business services,1711328
6000,California,825,"        Automotive repair, services, and parking",228961
6000,California,830,        Miscellaneous repair services,103117
6000,California,835,        Amusement and recreation services,455212
6000,California,840,        Motion pictures,229892
6000,California,845,        Health services,1081999
6000,California,850,        Legal services,190060
6000,California,855,        Educational services,335779
6000,California,860,        Social services 5/,297216
6000,California,865,"        Museums, botanical, zoological gardens",11639
6000,California,870,        Membership organizations,216496
6000,California,875,        Engineering and management services 6/,784918
6000,California,880,        Miscellaneous services,118150
6000,California,900,    Government and government enterprises,2559207
6000,California,910,      Federal civilian,268430
6000,California,920,      Military,223292
6000,California,930,      State and local,2067485
6000,California,931,        State government,451323
6000,California,932,        Local government,1616162
8000,Colorado,,Employment by place of work,
8000,Colorado,10,Total employment (number of jobs),2918002
8000,Colorado,,By type,
8000,Colorado,20,  Wage and salary employment,2331747
8000,Colorado,40,  Proprietors employment,586255
8000,Colorado,50,    Farm proprietors employment,29601
8000,Colorado,60,    Nonfarm proprietors employment 2/,556654
8000,Colorado,,By industry,
8000,Colorado,70,  Farm employment,45004
8000,Colorado,80,  Nonfarm employment,2872998
8000,Colorado,90,    Private nonfarm employment,2488373
